,Date,variable,value
89, 22 January 2022 16:00,Page,Economic Growth
90, 22 December 2021 14:59,Page,Economic Growth
91, 21 December 2021 09:10,Page,Economic Growth
92, 21 December 2021 08:58,Page,Economic Growth
93, 11 December 2021 15:38,Page,Economic Growth
94, 10 November 2021 00:36,Page,Economic Growth
95, 10 November 2021 00:34,Page,Economic Growth
96, 9 November 2021 17:13,Page,Economic Growth
97, 8 November 2021 19:50,Page,Economic Growth
98, 30 October 2021 12:44,Page,Economic Growth
99, 9 October 2021 19:45,Page,Economic Growth
100, 9 October 2021 16:59,Page,Economic Growth
101, 9 October 2021 16:55,Page,Economic Growth
102, 6 October 2021 20:31,Page,Economic Growth
103, 3 October 2021 10:05,Page,Economic Growth
104, 3 October 2021 10:02,Page,Economic Growth
105, 22 September 2021 12:15,Page,Economic Growth
106, 22 September 2021 01:25,Page,Economic Growth
107, 22 September 2021 01:22,Page,Economic Growth
108, 29 August 2021 06:46,Page,Economic Growth
109, 24 August 2021 18:04,Page,Economic Growth
110, 18 August 2021 08:37,Page,Economic Growth
111, 18 August 2021 08:36,Page,Economic Growth
112, 10 August 2021 15:05,Page,Economic Growth
113, 5 August 2021 11:13,Page,Economic Growth
114, 5 August 2021 11:11,Page,Economic Growth
115, 5 July 2021 19:47,Page,Economic Growth
116, 21 June 2021 04:26,Page,Economic Growth
117, 18 June 2021 06:00,Page,Economic Growth
118, 18 June 2021 05:59,Page,Economic Growth
119, 26 May 2021 05:06,Page,Economic Growth
120, 25 May 2021 14:28,Page,Economic Growth
121, 18 May 2021 20:25,Page,Economic Growth
122, 18 May 2021 20:24,Page,Economic Growth
123, 9 May 2021 23:56,Page,Economic Growth
124, 4 May 2021 22:13,Page,Economic Growth
125, 4 May 2021 21:07,Page,Economic Growth
126, 4 May 2021 21:01,Page,Economic Growth
127, 3 March 2021 00:17,Page,Economic Growth
128, 21 February 2021 13:53,Page,Economic Growth
129, 8 February 2021 15:45,Page,Economic Growth
130, 1 February 2021 23:36,Page,Economic Growth
131, 24 January 2021 16:39,Page,Economic Growth
132, 21 January 2021 16:04,Page,Economic Growth
133, 21 January 2021 15:55,Page,Economic Growth
134, 15 January 2021 00:14,Page,Economic Growth
135, 14 January 2021 22:29,Page,Economic Growth
136, 14 January 2021 20:54,Page,Economic Growth
137, 2 January 2021 21:18,Page,Economic Growth
138, 2 January 2021 21:18,Page,Economic Growth
139, 2 January 2021 21:17,Page,Economic Growth
140, 28 December 2020 00:14,Page,Economic Growth
141, 20 December 2020 15:44,Page,Economic Growth
142, 12 December 2020 21:33,Page,Economic Growth
143, 11 December 2020 22:20,Page,Economic Growth
144, 8 December 2020 01:27,Page,Economic Growth
145, 28 November 2020 07:53,Page,Economic Growth
146, 24 November 2020 01:51,Page,Economic Growth
147, 21 November 2020 16:33,Page,Economic Growth
148, 21 November 2020 04:00,Page,Economic Growth
149, 17 November 2020 14:29,Page,Economic Growth
150, 3 November 2020 00:55,Page,Economic Growth
151, 10 October 2020 19:37,Page,Economic Growth
152, 25 September 2020 08:06,Page,Economic Growth
153, 25 September 2020 07:59,Page,Economic Growth
154, 19 September 2020 21:05,Page,Economic Growth
155, 16 September 2020 04:05,Page,Economic Growth
156, 5 September 2020 13:37,Page,Economic Growth
157, 1 September 2020 16:07,Page,Economic Growth
158, 27 August 2020 02:00,Page,Economic Growth
159, 18 August 2020 11:09,Page,Economic Growth
160, 13 August 2020 15:46,Page,Economic Growth
161, 10 August 2020 03:32,Page,Economic Growth
162, 3 August 2020 07:10,Page,Economic Growth
163, 31 July 2020 13:54,Page,Economic Growth
164, 26 July 2020 14:40,Page,Economic Growth
165, 14 June 2020 00:09,Page,Economic Growth
166, 6 June 2020 18:11,Page,Economic Growth
167, 31 May 2020 12:51,Page,Economic Growth
168, 30 May 2020 05:44,Page,Economic Growth
169, 30 May 2020 03:43,Page,Economic Growth
170, 26 May 2020 20:27,Page,Economic Growth
171, 26 May 2020 16:42,Page,Economic Growth
172, 25 May 2020 12:45,Page,Economic Growth
173, 3 May 2020 16:02,Page,Economic Growth
174, 3 May 2020 16:02,Page,Economic Growth
175, 3 May 2020 15:56,Page,Economic Growth
176, 3 May 2020 15:44,Page,Economic Growth
177, 3 May 2020 14:24,Page,Economic Growth
178, 3 May 2020 14:23,Page,Economic Growth
179, 28 April 2020 18:19,Page,Economic Growth
180, 28 April 2020 18:08,Page,Economic Growth
181, 19 April 2020 08:12,Page,Economic Growth
182, 13 April 2020 15:21,Page,Economic Growth
183, 8 April 2020 16:10,Page,Economic Growth
184, 8 April 2020 16:10,Page,Economic Growth
185, 7 April 2020 16:31,Page,Economic Growth
186, 7 April 2020 16:30,Page,Economic Growth
187, 7 April 2020 16:29,Page,Economic Growth
188, 28 March 2020 20:20,Page,Economic Growth
189, 27 March 2020 23:50,Page,Economic Growth
190, 20 March 2020 16:44,Page,Economic Growth
191, 6 March 2020 19:23,Page,Economic Growth
192, 6 March 2020 11:39,Page,Economic Growth
193, 4 March 2020 08:02,Page,Economic Growth
194, 3 March 2020 19:04,Page,Economic Growth
195, 17 February 2020 11:00,Page,Economic Growth
196, 16 February 2020 23:21,Page,Economic Growth
197, 31 January 2020 23:12,Page,Economic Growth
198, 31 January 2020 19:50,Page,Economic Growth
199, 31 January 2020 19:44,Page,Economic Growth
200, 31 January 2020 16:13,Page,Economic Growth
201, 27 January 2020 13:56,Page,Economic Growth
202, 27 January 2020 10:35,Page,Economic Growth
203, 23 January 2020 10:24,Page,Economic Growth
204, 23 January 2020 04:24,Page,Economic Growth
205, 21 January 2020 13:49,Page,Economic Growth
206, 21 January 2020 07:12,Page,Economic Growth
207, 21 January 2020 07:09,Page,Economic Growth
208, 21 January 2020 06:40,Page,Economic Growth
209, 11 January 2020 16:31,Page,Economic Growth
210, 11 January 2020 16:25,Page,Economic Growth
211, 4 January 2020 14:24,Page,Economic Growth
212, 4 January 2020 09:49,Page,Economic Growth
213, 4 January 2020 09:48,Page,Economic Growth
214, 24 December 2019 08:54,Page,Economic Growth
215, 20 December 2019 18:00,Page,Economic Growth
216, 20 December 2019 17:58,Page,Economic Growth
217, 20 December 2019 17:26,Page,Economic Growth
218, 20 December 2019 17:23,Page,Economic Growth
219, 20 December 2019 17:18,Page,Economic Growth
220, 20 December 2019 17:07,Page,Economic Growth
221, 20 December 2019 01:34,Page,Economic Growth
222, 18 December 2019 09:45,Page,Economic Growth
223, 17 December 2019 18:45,Page,Economic Growth
224, 16 December 2019 00:59,Page,Economic Growth
225, 15 December 2019 18:11,Page,Economic Growth
226, 15 December 2019 18:09,Page,Economic Growth
227, 14 December 2019 14:48,Page,Economic Growth
228, 7 December 2019 15:28,Page,Economic Growth
229, 4 December 2019 07:30,Page,Economic Growth
230, 30 November 2019 12:13,Page,Economic Growth
231, 8 November 2019 20:37,Page,Economic Growth
232, 28 October 2019 14:59,Page,Economic Growth
233, 28 October 2019 14:58,Page,Economic Growth
234, 8 October 2019 12:43,Page,Economic Growth
235, 8 October 2019 08:29,Page,Economic Growth
236, 28 September 2019 00:37,Page,Economic Growth
237, 28 September 2019 00:36,Page,Economic Growth
238, 27 September 2019 13:20,Page,Economic Growth
239, 27 September 2019 13:19,Page,Economic Growth
240, 27 September 2019 13:19,Page,Economic Growth
241, 27 September 2019 13:17,Page,Economic Growth
242, 24 September 2019 05:18,Page,Economic Growth
243, 23 September 2019 12:44,Page,Economic Growth
244, 19 September 2019 08:57,Page,Economic Growth
245, 3 September 2019 22:27,Page,Economic Growth
246, 3 September 2019 22:26,Page,Economic Growth
247, 28 August 2019 00:03,Page,Economic Growth
248, 27 August 2019 00:44,Page,Economic Growth
249, 19 August 2019 02:29,Page,Economic Growth
250, 19 August 2019 02:25,Page,Economic Growth
251, 19 August 2019 02:19,Page,Economic Growth
252, 19 August 2019 02:15,Page,Economic Growth
253, 19 August 2019 02:08,Page,Economic Growth
254, 19 August 2019 01:57,Page,Economic Growth
255, 16 August 2019 19:29,Page,Economic Growth
256, 15 August 2019 00:09,Page,Economic Growth
257, 13 August 2019 05:58,Page,Economic Growth
258, 2 August 2019 19:40,Page,Economic Growth
259, 19 July 2019 08:03,Page,Economic Growth
260, 9 July 2019 09:33,Page,Economic Growth
261, 2 July 2019 16:56,Page,Economic Growth
262, 2 July 2019 10:19,Page,Economic Growth
263, 27 June 2019 09:26,Page,Economic Growth
264, 23 June 2019 00:31,Page,Economic Growth
265, 17 June 2019 15:08,Page,Economic Growth
266, 28 May 2019 10:28,Page,Economic Growth
267, 18 May 2019 14:49,Page,Economic Growth
268, 25 April 2019 22:28,Page,Economic Growth
269, 25 April 2019 21:56,Page,Economic Growth
270, 24 April 2019 12:16,Page,Economic Growth
271, 24 April 2019 12:15,Page,Economic Growth
272, 24 April 2019 12:10,Page,Economic Growth
273, 24 April 2019 12:09,Page,Economic Growth
274, 24 April 2019 12:08,Page,Economic Growth
275, 21 April 2019 17:11,Page,Economic Growth
276, 17 April 2019 21:55,Page,Economic Growth
277, 16 April 2019 21:17,Page,Economic Growth
278, 12 April 2019 23:06,Page,Economic Growth
279, 6 April 2019 17:10,Page,Economic Growth
280, 1 April 2019 11:39,Page,Economic Growth
281, 30 March 2019 19:22,Page,Economic Growth
282, 20 March 2019 20:59,Page,Economic Growth
283, 7 March 2019 08:05,Page,Economic Growth
284, 5 March 2019 11:54,Page,Economic Growth
285, 5 March 2019 02:45,Page,Economic Growth
286, 26 February 2019 02:11,Page,Economic Growth
287, 26 February 2019 02:07,Page,Economic Growth
288, 24 February 2019 15:32,Page,Economic Growth
289, 24 February 2019 15:29,Page,Economic Growth
290, 22 February 2019 17:04,Page,Economic Growth
291, 25 January 2019 16:33,Page,Economic Growth
292, 25 January 2019 15:35,Page,Economic Growth
293, 25 January 2019 15:33,Page,Economic Growth
294, 12 January 2019 11:05,Page,Economic Growth
295, 10 January 2019 15:41,Page,Economic Growth
296, 9 January 2019 17:11,Page,Economic Growth
297, 4 January 2019 21:02,Page,Economic Growth
298, 4 January 2019 09:50,Page,Economic Growth
299, 3 January 2019 20:26,Page,Economic Growth
300, 3 January 2019 20:26,Page,Economic Growth
301, 1 January 2019 14:17,Page,Economic Growth
302, 29 December 2018 21:33,Page,Economic Growth
303, 29 December 2018 21:17,Page,Economic Growth
304, 29 December 2018 21:16,Page,Economic Growth
305, 29 December 2018 19:09,Page,Economic Growth
306, 29 December 2018 14:01,Page,Economic Growth
307, 29 December 2018 11:06,Page,Economic Growth
308, 28 December 2018 18:13,Page,Economic Growth
309, 28 December 2018 18:12,Page,Economic Growth
310, 28 December 2018 17:49,Page,Economic Growth
311, 28 December 2018 17:37,Page,Economic Growth
312, 28 December 2018 17:33,Page,Economic Growth
313, 28 December 2018 17:31,Page,Economic Growth
314, 28 December 2018 17:30,Page,Economic Growth
315, 27 December 2018 23:02,Page,Economic Growth
316, 27 December 2018 16:28,Page,Economic Growth
317, 27 December 2018 10:32,Page,Economic Growth
318, 27 December 2018 10:29,Page,Economic Growth
319, 27 December 2018 10:15,Page,Economic Growth
320, 27 December 2018 02:51,Page,Economic Growth
321, 26 December 2018 22:23,Page,Economic Growth
322, 26 December 2018 22:19,Page,Economic Growth
323, 26 December 2018 21:50,Page,Economic Growth
324, 26 December 2018 21:03,Page,Economic Growth
325, 26 December 2018 18:15,Page,Economic Growth
326, 26 December 2018 18:10,Page,Economic Growth
327, 13 December 2018 22:54,Page,Economic Growth
328, 13 December 2018 13:47,Page,Economic Growth
329, 13 December 2018 13:46,Page,Economic Growth
330, 13 December 2018 13:23,Page,Economic Growth
331, 13 December 2018 10:32,Page,Economic Growth
332, 12 December 2018 19:40,Page,Economic Growth
333, 11 December 2018 19:06,Page,Economic Growth
334, 11 December 2018 18:25,Page,Economic Growth
335, 11 December 2018 11:15,Page,Economic Growth
336, 11 December 2018 11:14,Page,Economic Growth
337, 11 December 2018 10:30,Page,Economic Growth
338, 11 December 2018 10:29,Page,Economic Growth
339, 11 December 2018 10:28,Page,Economic Growth
340, 10 December 2018 15:57,Page,Economic Growth
341, 10 December 2018 15:55,Page,Economic Growth
342, 10 December 2018 15:54,Page,Economic Growth
343, 10 December 2018 15:54,Page,Economic Growth
344, 10 December 2018 15:53,Page,Economic Growth
345, 10 December 2018 15:53,Page,Economic Growth
346, 7 December 2018 17:21,Page,Economic Growth
347, 7 December 2018 17:15,Page,Economic Growth
348, 7 December 2018 17:14,Page,Economic Growth
349, 2 December 2018 11:51,Page,Economic Growth
350, 2 December 2018 11:50,Page,Economic Growth
351, 30 November 2018 01:24,Page,Economic Growth
352, 30 November 2018 01:24,Page,Economic Growth
353, 30 November 2018 01:22,Page,Economic Growth
354, 30 November 2018 01:22,Page,Economic Growth
355, 27 November 2018 16:25,Page,Economic Growth
356, 27 November 2018 16:12,Page,Economic Growth
357, 25 November 2018 09:30,Page,Economic Growth
358, 25 November 2018 09:30,Page,Economic Growth
359, 25 November 2018 09:29,Page,Economic Growth
360, 25 November 2018 09:29,Page,Economic Growth
361, 22 November 2018 03:44,Page,Economic Growth
362, 20 November 2018 02:15,Page,Economic Growth
363, 9 November 2018 08:17,Page,Economic Growth
364, 8 November 2018 06:17,Page,Economic Growth
365, 2 November 2018 00:41,Page,Economic Growth
366, 2 November 2018 00:32,Page,Economic Growth
367, 16 October 2018 22:45,Page,Economic Growth
368, 12 October 2018 02:31,Page,Economic Growth
369, 12 October 2018 01:51,Page,Economic Growth
370, 9 October 2018 17:40,Page,Economic Growth
371, 9 October 2018 17:37,Page,Economic Growth
372, 9 October 2018 05:33,Page,Economic Growth
373, 3 October 2018 04:37,Page,Economic Growth
374, 28 September 2018 01:18,Page,Economic Growth
375, 26 September 2018 21:46,Page,Economic Growth
376, 15 September 2018 21:14,Page,Economic Growth
377, 11 September 2018 09:50,Page,Economic Growth
378, 31 August 2018 01:53,Page,Economic Growth
379, 31 August 2018 01:52,Page,Economic Growth
380, 27 August 2018 07:01,Page,Economic Growth
381, 21 August 2018 07:37,Page,Economic Growth
382, 5 August 2018 16:20,Page,Economic Growth
383, 26 July 2018 07:39,Page,Economic Growth
384, 26 July 2018 07:38,Page,Economic Growth
385, 24 July 2018 07:13,Page,Economic Growth
386, 29 June 2018 09:44,Page,Economic Growth
387, 29 June 2018 09:42,Page,Economic Growth
388, 21 May 2018 16:02,Page,Economic Growth
389, 21 May 2018 15:55,Page,Economic Growth
390, 21 May 2018 15:52,Page,Economic Growth
391, 21 May 2018 15:51,Page,Economic Growth
392, 16 May 2018 17:45,Page,Economic Growth
393, 9 May 2018 04:42,Page,Economic Growth
394, 8 May 2018 23:55,Page,Economic Growth
395, 7 May 2018 00:19,Page,Economic Growth
396, 6 May 2018 13:05,Page,Economic Growth
397, 6 May 2018 13:04,Page,Economic Growth
398, 16 April 2018 12:55,Page,Economic Growth
399, 16 April 2018 12:27,Page,Economic Growth
400, 16 April 2018 11:59,Page,Economic Growth
401, 5 April 2018 04:28,Page,Economic Growth
402, 3 April 2018 20:51,Page,Economic Growth
403, 27 March 2018 15:36,Page,Economic Growth
404, 24 March 2018 01:54,Page,Economic Growth
405, 24 March 2018 01:51,Page,Economic Growth
406, 24 March 2018 01:49,Page,Economic Growth
407, 24 March 2018 01:47,Page,Economic Growth
408, 24 March 2018 01:46,Page,Economic Growth
409, 24 March 2018 01:34,Page,Economic Growth
410, 24 March 2018 01:30,Page,Economic Growth
411, 24 March 2018 01:26,Page,Economic Growth
412, 24 March 2018 01:10,Page,Economic Growth
413, 24 March 2018 01:06,Page,Economic Growth
414, 24 March 2018 01:00,Page,Economic Growth
415, 24 March 2018 00:40,Page,Economic Growth
416, 21 March 2018 20:09,Page,Economic Growth
417, 17 March 2018 21:34,Page,Economic Growth
418, 17 March 2018 21:34,Page,Economic Growth
419, 9 March 2018 21:41,Page,Economic Growth
420, 9 March 2018 21:08,Page,Economic Growth
421, 2 March 2018 19:23,Page,Economic Growth
422, 23 February 2018 15:33,Page,Economic Growth
423, 22 February 2018 04:32,Page,Economic Growth
424, 15 February 2018 21:52,Page,Economic Growth
425, 15 February 2018 21:49,Page,Economic Growth
426, 15 February 2018 20:57,Page,Economic Growth
427, 14 February 2018 20:25,Page,Economic Growth
428, 12 February 2018 19:38,Page,Economic Growth
429, 11 February 2018 17:33,Page,Economic Growth
430, 10 February 2018 15:14,Page,Economic Growth
431, 6 February 2018 07:26,Page,Economic Growth
432, 31 January 2018 16:44,Page,Economic Growth
433, 31 January 2018 03:24,Page,Economic Growth
434, 31 January 2018 03:23,Page,Economic Growth
435, 31 January 2018 03:20,Page,Economic Growth
436, 24 January 2018 13:02,Page,Economic Growth
437, 24 January 2018 12:48,Page,Economic Growth
438, 3 January 2018 12:51,Page,Economic Growth
439, 18 December 2017 23:20,Page,Economic Growth
440, 18 December 2017 21:34,Page,Economic Growth
441, 18 December 2017 21:29,Page,Economic Growth
442, 18 December 2017 04:25,Page,Economic Growth
443, 18 December 2017 04:22,Page,Economic Growth
444, 18 December 2017 04:22,Page,Economic Growth
445, 18 December 2017 04:21,Page,Economic Growth
446, 12 December 2017 11:47,Page,Economic Growth
447, 12 December 2017 11:47,Page,Economic Growth
448, 12 December 2017 11:41,Page,Economic Growth
449, 12 December 2017 11:41,Page,Economic Growth
450, 12 December 2017 11:40,Page,Economic Growth
451, 12 December 2017 11:40,Page,Economic Growth
452, 8 December 2017 21:06,Page,Economic Growth
453, 6 December 2017 12:12,Page,Economic Growth
454, 26 November 2017 15:30,Page,Economic Growth
455, 26 November 2017 01:54,Page,Economic Growth
456, 25 November 2017 22:54,Page,Economic Growth
457, 24 November 2017 14:39,Page,Economic Growth
458, 20 November 2017 15:59,Page,Economic Growth
459, 20 November 2017 04:36,Page,Economic Growth
460, 10 November 2017 20:23,Page,Economic Growth
461, 26 October 2017 22:53,Page,Economic Growth
462, 25 October 2017 10:12,Page,Economic Growth
463, 10 October 2017 13:38,Page,Economic Growth
464, 10 October 2017 13:37,Page,Economic Growth
465, 5 October 2017 17:22,Page,Economic Growth
466, 5 October 2017 01:25,Page,Economic Growth
467, 4 October 2017 15:54,Page,Economic Growth
468, 4 October 2017 15:53,Page,Economic Growth
469, 4 October 2017 15:51,Page,Economic Growth
470, 4 October 2017 15:49,Page,Economic Growth
471, 4 October 2017 15:47,Page,Economic Growth
472, 4 October 2017 15:46,Page,Economic Growth
473, 2 October 2017 12:27,Page,Economic Growth
474, 30 September 2017 17:47,Page,Economic Growth
475, 22 September 2017 17:23,Page,Economic Growth
476, 22 September 2017 16:41,Page,Economic Growth
477, 16 September 2017 19:17,Page,Economic Growth
478, 4 September 2017 19:10,Page,Economic Growth
479, 31 August 2017 00:59,Page,Economic Growth
480, 28 August 2017 12:37,Page,Economic Growth
481, 28 August 2017 11:39,Page,Economic Growth
482, 26 August 2017 21:39,Page,Economic Growth
483, 15 August 2017 00:40,Page,Economic Growth
484, 12 August 2017 13:32,Page,Economic Growth
485, 10 August 2017 01:29,Page,Economic Growth
486, 27 June 2017 19:02,Page,Economic Growth
487, 27 June 2017 07:57,Page,Economic Growth
488, 27 June 2017 07:47,Page,Economic Growth
489, 27 June 2017 07:44,Page,Economic Growth
490, 3 June 2017 18:56,Page,Economic Growth
491, 17 May 2017 22:54,Page,Economic Growth
492, 17 May 2017 21:10,Page,Economic Growth
493, 13 May 2017 19:40,Page,Economic Growth
494, 13 May 2017 19:40,Page,Economic Growth
495, 1 May 2017 04:23,Page,Economic Growth
496, 1 May 2017 04:04,Page,Economic Growth
497, 13 April 2017 15:40,Page,Economic Growth
498, 29 March 2017 22:46,Page,Economic Growth
499, 28 March 2017 09:52,Page,Economic Growth
500, 28 March 2017 09:49,Page,Economic Growth
501, 19 March 2017 01:46,Page,Economic Growth
502, 11 March 2017 15:37,Page,Economic Growth
503, 11 March 2017 15:34,Page,Economic Growth
504, 6 March 2017 11:48,Page,Economic Growth
505, 14 February 2017 03:21,Page,Economic Growth
506, 10 February 2017 18:20,Page,Economic Growth
507, 5 February 2017 04:13,Page,Economic Growth
508, 2 February 2017 07:09,Page,Economic Growth
509, 2 February 2017 07:08,Page,Economic Growth
510, 29 January 2017 18:26,Page,Economic Growth
511, 27 January 2017 19:19,Page,Economic Growth
512, 27 January 2017 17:08,Page,Economic Growth
513, 19 January 2017 17:12,Page,Economic Growth
514, 19 January 2017 16:18,Page,Economic Growth
515, 12 January 2017 19:22,Page,Economic Growth
516, 26 December 2016 05:59,Page,Economic Growth
517, 25 December 2016 21:58,Page,Economic Growth
518, 25 December 2016 21:58,Page,Economic Growth
519, 25 December 2016 21:58,Page,Economic Growth
520, 25 December 2016 21:57,Page,Economic Growth
521, 25 December 2016 21:57,Page,Economic Growth
522, 25 December 2016 21:56,Page,Economic Growth
523, 25 December 2016 19:27,Page,Economic Growth
524, 25 December 2016 18:48,Page,Economic Growth
525, 25 December 2016 18:47,Page,Economic Growth
526, 23 December 2016 22:39,Page,Economic Growth
527, 19 December 2016 17:21,Page,Economic Growth
528, 13 December 2016 08:30,Page,Economic Growth
529, 13 December 2016 08:28,Page,Economic Growth
530, 10 December 2016 04:38,Page,Economic Growth
531, 2 December 2016 23:24,Page,Economic Growth
532, 2 December 2016 23:20,Page,Economic Growth
533, 2 December 2016 23:19,Page,Economic Growth
534, 2 December 2016 23:18,Page,Economic Growth
535, 2 December 2016 23:16,Page,Economic Growth
536, 2 December 2016 19:55,Page,Economic Growth
537, 25 November 2016 19:53,Page,Economic Growth
538, 25 November 2016 19:33,Page,Economic Growth
539, 25 November 2016 14:55,Page,Economic Growth
540, 11 November 2016 17:32,Page,Economic Growth
541, 12 October 2016 23:05,Page,Economic Growth
542, 12 October 2016 23:05,Page,Economic Growth
543, 8 October 2016 17:35,Page,Economic Growth
544, 26 September 2016 12:38,Page,Economic Growth
545, 26 September 2016 11:36,Page,Economic Growth
546, 26 September 2016 11:36,Page,Economic Growth
547, 9 September 2016 21:02,Page,Economic Growth
548, 7 September 2016 20:18,Page,Economic Growth
549, 7 September 2016 20:17,Page,Economic Growth
550, 2 September 2016 00:50,Page,Economic Growth
551, 30 August 2016 04:49,Page,Economic Growth
552, 30 August 2016 04:09,Page,Economic Growth
553, 30 August 2016 04:00,Page,Economic Growth
554, 30 August 2016 03:54,Page,Economic Growth
555, 30 August 2016 03:49,Page,Economic Growth
556, 30 August 2016 03:41,Page,Economic Growth
557, 3 August 2016 11:11,Page,Economic Growth
558, 27 July 2016 16:15,Page,Economic Growth
559, 20 July 2016 16:25,Page,Economic Growth
560, 19 July 2016 23:00,Page,Economic Growth
561, 12 July 2016 01:51,Page,Economic Growth
562, 29 June 2016 23:38,Page,Economic Growth
563, 29 June 2016 23:26,Page,Economic Growth
564, 29 June 2016 23:12,Page,Economic Growth
565, 29 June 2016 03:33,Page,Economic Growth
566, 29 June 2016 03:24,Page,Economic Growth
567, 29 June 2016 03:13,Page,Economic Growth
568, 29 June 2016 01:52,Page,Economic Growth
569, 28 June 2016 23:17,Page,Economic Growth
570, 28 June 2016 23:07,Page,Economic Growth
571, 28 June 2016 23:02,Page,Economic Growth
572, 28 June 2016 22:51,Page,Economic Growth
573, 28 June 2016 21:19,Page,Economic Growth
574, 28 June 2016 21:14,Page,Economic Growth
575, 28 June 2016 21:11,Page,Economic Growth
576, 20 June 2016 06:25,Page,Economic Growth
577, 20 June 2016 06:24,Page,Economic Growth
578, 20 June 2016 00:57,Page,Economic Growth
579, 20 June 2016 00:50,Page,Economic Growth
580, 19 June 2016 18:58,Page,Economic Growth
581, 19 June 2016 17:30,Page,Economic Growth
