,Page,Category,Date,Size,Abs Edit Size
37,Economic Growth,Economic Concept, 11 June 2022 12:01,124204,"1,500"
38,Economic Growth,Economic Concept, 11 June 2022 11:46,125704,"1,500"
39,Economic Growth,Economic Concept, 9 June 2022 12:48,124204,164
40,Economic Growth,Economic Concept, 9 June 2022 12:37,124368,142
41,Economic Growth,Economic Concept, 9 June 2022 12:33,124226,16
42,Economic Growth,Economic Concept, 9 June 2022 12:32,124210,6
43,Economic Growth,Economic Concept, 3 June 2022 21:36,124204,238
44,Economic Growth,Economic Concept, 1 June 2022 18:57,123966,386
45,Economic Growth,Economic Concept, 31 May 2022 13:14,123580,4
46,Economic Growth,Economic Concept, 25 May 2022 22:45,123584,649
47,Economic Growth,Economic Concept, 25 May 2022 05:20,124233,232
48,Economic Growth,Economic Concept, 24 May 2022 13:00,124001,"4,527"
49,Economic Growth,Economic Concept, 24 May 2022 07:59,119474,47
50,Economic Growth,Economic Concept, 24 May 2022 07:44,119427,844
51,Economic Growth,Economic Concept, 23 May 2022 13:24,118583,82
52,Economic Growth,Economic Concept, 20 May 2022 16:03,118665,1
53,Economic Growth,Economic Concept, 20 May 2022 16:02,118666,"4,529"
54,Economic Growth,Economic Concept, 20 May 2022 15:59,123195,"4,530"
55,Economic Growth,Economic Concept, 17 May 2022 23:46,118665,19
56,Economic Growth,Economic Concept, 17 May 2022 11:11,118684,4
57,Economic Growth,Economic Concept, 17 May 2022 11:08,118688,20
58,Economic Growth,Economic Concept, 17 May 2022 10:58,118668,1
59,Economic Growth,Economic Concept, 17 May 2022 10:56,118667,5
60,Economic Growth,Economic Concept, 17 May 2022 10:50,118662,2
61,Economic Growth,Economic Concept, 17 May 2022 10:44,118664,42
62,Economic Growth,Economic Concept, 17 May 2022 10:40,118622,242
63,Economic Growth,Economic Concept, 15 May 2022 09:06,118380,115
64,Economic Growth,Economic Concept, 12 May 2022 17:28,118495,16
65,Economic Growth,Economic Concept, 12 May 2022 17:27,118479,16
66,Economic Growth,Economic Concept, 11 May 2022 22:50,118495,2
67,Economic Growth,Economic Concept, 11 May 2022 22:19,118493,2
68,Economic Growth,Economic Concept, 27 April 2022 02:34,118495,1
69,Economic Growth,Economic Concept, 10 April 2022 19:26,118494,30
70,Economic Growth,Economic Concept, 10 April 2022 19:21,118524,"1,079"
71,Economic Growth,Economic Concept, 7 April 2022 21:57,119603,331
72,Economic Growth,Economic Concept, 7 April 2022 21:53,119272,331
73,Economic Growth,Economic Concept, 7 April 2022 01:37,119603,951
74,Economic Growth,Economic Concept, 7 April 2022 00:27,120554,951
75,Economic Growth,Economic Concept, 3 April 2022 15:20,119603,264
76,Economic Growth,Economic Concept, 1 April 2022 20:39,119339,174
77,Economic Growth,Economic Concept, 1 April 2022 19:08,119513,161
78,Economic Growth,Economic Concept, 1 April 2022 15:21,119674,120
79,Economic Growth,Economic Concept, 1 April 2022 15:12,119794,83
80,Economic Growth,Economic Concept, 1 April 2022 14:50,119877,20
81,Economic Growth,Economic Concept, 21 March 2022 05:04,119897,188
82,Economic Growth,Economic Concept, 16 March 2022 16:52,119709,36
83,Economic Growth,Economic Concept, 16 March 2022 00:03,119673,1
84,Economic Growth,Economic Concept, 7 March 2022 20:11,119672,4
85,Economic Growth,Economic Concept, 27 February 2022 04:16,119668,12
86,Economic Growth,Economic Concept, 2 February 2022 09:38,119680,4
87,Economic Growth,Economic Concept, 26 January 2022 20:30,119684,8
88,Economic Growth,Economic Concept, 25 January 2022 18:01,119692,20
89,Economic Growth,Economic Concept, 22 January 2022 16:00,119672,12
90,Economic Growth,Economic Concept, 22 December 2021 14:59,119660,"1,940"
91,Economic Growth,Economic Concept, 21 December 2021 09:10,121600,71
92,Economic Growth,Economic Concept, 21 December 2021 08:58,121529,"1,869"
93,Economic Growth,Economic Concept, 11 December 2021 15:38,119660,"1,091"
94,Economic Growth,Economic Concept, 10 November 2021 00:36,118569,4
95,Economic Growth,Economic Concept, 10 November 2021 00:34,118573,11
96,Economic Growth,Economic Concept, 9 November 2021 17:13,118584,27
97,Economic Growth,Economic Concept, 8 November 2021 19:50,118557,0
98,Economic Growth,Economic Concept, 30 October 2021 12:44,118557,10
99,Economic Growth,Economic Concept, 9 October 2021 19:45,118547,19
100,Economic Growth,Economic Concept, 9 October 2021 16:59,118566,135
101,Economic Growth,Economic Concept, 9 October 2021 16:55,118431,67
102,Economic Growth,Economic Concept, 6 October 2021 20:31,118364,25
103,Economic Growth,Economic Concept, 3 October 2021 10:05,118389,0
104,Economic Growth,Economic Concept, 3 October 2021 10:02,118389,"2,796"
105,Economic Growth,Economic Concept, 22 September 2021 12:15,115593,4
106,Economic Growth,Economic Concept, 22 September 2021 01:25,115589,618
107,Economic Growth,Economic Concept, 22 September 2021 01:22,114971,618
108,Economic Growth,Economic Concept, 29 August 2021 06:46,115589,23
109,Economic Growth,Economic Concept, 24 August 2021 18:04,115566,0
110,Economic Growth,Economic Concept, 18 August 2021 08:37,115566,2
111,Economic Growth,Economic Concept, 18 August 2021 08:36,115568,1
112,Economic Growth,Economic Concept, 10 August 2021 15:05,115567,89
113,Economic Growth,Economic Concept, 5 August 2021 11:13,115478,1
114,Economic Growth,Economic Concept, 5 August 2021 11:11,115477,1
115,Economic Growth,Economic Concept, 5 July 2021 19:47,115478,23
116,Economic Growth,Economic Concept, 21 June 2021 04:26,115455,64
117,Economic Growth,Economic Concept, 18 June 2021 06:00,115519,1
118,Economic Growth,Economic Concept, 18 June 2021 05:59,115520,16
119,Economic Growth,Economic Concept, 26 May 2021 05:06,115504,126
120,Economic Growth,Economic Concept, 25 May 2021 14:28,115378,724
121,Economic Growth,Economic Concept, 18 May 2021 20:25,114654,4
122,Economic Growth,Economic Concept, 18 May 2021 20:24,114658,4
123,Economic Growth,Economic Concept, 9 May 2021 23:56,114654,16
124,Economic Growth,Economic Concept, 4 May 2021 22:13,114638,46
125,Economic Growth,Economic Concept, 4 May 2021 21:07,114684,0
126,Economic Growth,Economic Concept, 4 May 2021 21:01,114684,46
127,Economic Growth,Economic Concept, 3 March 2021 00:17,114638,4
128,Economic Growth,Economic Concept, 21 February 2021 13:53,114634,488
129,Economic Growth,Economic Concept, 8 February 2021 15:45,114146,989
130,Economic Growth,Economic Concept, 1 February 2021 23:36,113157,0
131,Economic Growth,Economic Concept, 24 January 2021 16:39,113157,17
132,Economic Growth,Economic Concept, 21 January 2021 16:04,113140,56
133,Economic Growth,Economic Concept, 21 January 2021 15:55,113084,"1,256"
134,Economic Growth,Economic Concept, 15 January 2021 00:14,111828,235
135,Economic Growth,Economic Concept, 14 January 2021 22:29,111593,765
136,Economic Growth,Economic Concept, 14 January 2021 20:54,110828,581
137,Economic Growth,Economic Concept, 2 January 2021 21:18,110247,273
138,Economic Growth,Economic Concept, 2 January 2021 21:18,109974,15
139,Economic Growth,Economic Concept, 2 January 2021 21:17,109959,288
140,Economic Growth,Economic Concept, 28 December 2020 00:14,110247,17
141,Economic Growth,Economic Concept, 20 December 2020 15:44,110264,46
142,Economic Growth,Economic Concept, 12 December 2020 21:33,110218,60
143,Economic Growth,Economic Concept, 11 December 2020 22:20,110158,8
144,Economic Growth,Economic Concept, 8 December 2020 01:27,110166,21
145,Economic Growth,Economic Concept, 28 November 2020 07:53,110145,767
146,Economic Growth,Economic Concept, 24 November 2020 01:51,110912,130
147,Economic Growth,Economic Concept, 21 November 2020 16:33,110782,1
148,Economic Growth,Economic Concept, 21 November 2020 04:00,110783,161
149,Economic Growth,Economic Concept, 17 November 2020 14:29,110622,4
150,Economic Growth,Economic Concept, 3 November 2020 00:55,110618,9
151,Economic Growth,Economic Concept, 10 October 2020 19:37,110609,2
152,Economic Growth,Economic Concept, 25 September 2020 08:06,110607,79
153,Economic Growth,Economic Concept, 25 September 2020 07:59,110528,159
154,Economic Growth,Economic Concept, 19 September 2020 21:05,110369,4
155,Economic Growth,Economic Concept, 16 September 2020 04:05,110365,19
156,Economic Growth,Economic Concept, 5 September 2020 13:37,110346,182
157,Economic Growth,Economic Concept, 1 September 2020 16:07,110164,16
158,Economic Growth,Economic Concept, 27 August 2020 02:00,110148,232
159,Economic Growth,Economic Concept, 18 August 2020 11:09,109916,297
160,Economic Growth,Economic Concept, 13 August 2020 15:46,110213,39
161,Economic Growth,Economic Concept, 10 August 2020 03:32,110252,11
162,Economic Growth,Economic Concept, 3 August 2020 07:10,110241,45
163,Economic Growth,Economic Concept, 31 July 2020 13:54,110286,21
164,Economic Growth,Economic Concept, 26 July 2020 14:40,110307,20
165,Economic Growth,Economic Concept, 14 June 2020 00:09,110327,30
166,Economic Growth,Economic Concept, 6 June 2020 18:11,110297,641
167,Economic Growth,Economic Concept, 31 May 2020 12:51,110938,248
168,Economic Growth,Economic Concept, 30 May 2020 05:44,111186,42
169,Economic Growth,Economic Concept, 30 May 2020 03:43,111144,451
170,Economic Growth,Economic Concept, 26 May 2020 20:27,110693,7
171,Economic Growth,Economic Concept, 26 May 2020 16:42,110686,7
172,Economic Growth,Economic Concept, 25 May 2020 12:45,110693,320
173,Economic Growth,Economic Concept, 3 May 2020 16:02,110373,554
174,Economic Growth,Economic Concept, 3 May 2020 16:02,109819,554
175,Economic Growth,Economic Concept, 3 May 2020 15:56,110373,554
176,Economic Growth,Economic Concept, 3 May 2020 15:44,109819,554
177,Economic Growth,Economic Concept, 3 May 2020 14:24,110373,554
178,Economic Growth,Economic Concept, 3 May 2020 14:23,109819,554
179,Economic Growth,Economic Concept, 28 April 2020 18:19,110373,60
180,Economic Growth,Economic Concept, 28 April 2020 18:08,110313,122
181,Economic Growth,Economic Concept, 19 April 2020 08:12,110191,33
182,Economic Growth,Economic Concept, 13 April 2020 15:21,110158,87
183,Economic Growth,Economic Concept, 8 April 2020 16:10,110071,28
184,Economic Growth,Economic Concept, 8 April 2020 16:10,110099,28
185,Economic Growth,Economic Concept, 7 April 2020 16:31,110071,15
186,Economic Growth,Economic Concept, 7 April 2020 16:30,110086,10
187,Economic Growth,Economic Concept, 7 April 2020 16:29,110076,5
188,Economic Growth,Economic Concept, 28 March 2020 20:20,110071,30
189,Economic Growth,Economic Concept, 27 March 2020 23:50,110101,80
190,Economic Growth,Economic Concept, 20 March 2020 16:44,110021,4
191,Economic Growth,Economic Concept, 6 March 2020 19:23,110025,4
192,Economic Growth,Economic Concept, 6 March 2020 11:39,110021,26
193,Economic Growth,Economic Concept, 4 March 2020 08:02,109995,351
194,Economic Growth,Economic Concept, 3 March 2020 19:04,109644,18
195,Economic Growth,Economic Concept, 17 February 2020 11:00,109626,4
196,Economic Growth,Economic Concept, 16 February 2020 23:21,109622,16
197,Economic Growth,Economic Concept, 31 January 2020 23:12,109638,7
198,Economic Growth,Economic Concept, 31 January 2020 19:50,109645,70
199,Economic Growth,Economic Concept, 31 January 2020 19:44,109715,131
200,Economic Growth,Economic Concept, 31 January 2020 16:13,109584,131
201,Economic Growth,Economic Concept, 27 January 2020 13:56,109715,11
202,Economic Growth,Economic Concept, 27 January 2020 10:35,109726,298
203,Economic Growth,Economic Concept, 23 January 2020 10:24,109428,4
204,Economic Growth,Economic Concept, 23 January 2020 04:24,109424,4
205,Economic Growth,Economic Concept, 21 January 2020 13:49,109428,717
206,Economic Growth,Economic Concept, 21 January 2020 07:12,108711,105
207,Economic Growth,Economic Concept, 21 January 2020 07:09,108816,105
208,Economic Growth,Economic Concept, 21 January 2020 06:40,108711,28
209,Economic Growth,Economic Concept, 11 January 2020 16:31,108683,14
210,Economic Growth,Economic Concept, 11 January 2020 16:25,108697,831
211,Economic Growth,Economic Concept, 4 January 2020 14:24,107866,56
212,Economic Growth,Economic Concept, 4 January 2020 09:49,107922,44
213,Economic Growth,Economic Concept, 4 January 2020 09:48,107878,12
214,Economic Growth,Economic Concept, 24 December 2019 08:54,107866,262
215,Economic Growth,Economic Concept, 20 December 2019 18:00,107604,0
216,Economic Growth,Economic Concept, 20 December 2019 17:58,107604,5
217,Economic Growth,Economic Concept, 20 December 2019 17:26,107609,698
218,Economic Growth,Economic Concept, 20 December 2019 17:23,106911,20
219,Economic Growth,Economic Concept, 20 December 2019 17:18,106891,2
220,Economic Growth,Economic Concept, 20 December 2019 17:07,106889,12
221,Economic Growth,Economic Concept, 20 December 2019 01:34,106877,239
222,Economic Growth,Economic Concept, 18 December 2019 09:45,106638,152
223,Economic Growth,Economic Concept, 17 December 2019 18:45,106486,53
224,Economic Growth,Economic Concept, 16 December 2019 00:59,106539,261
225,Economic Growth,Economic Concept, 15 December 2019 18:11,106800,4
226,Economic Growth,Economic Concept, 15 December 2019 18:09,106804,4
227,Economic Growth,Economic Concept, 14 December 2019 14:48,106800,261
228,Economic Growth,Economic Concept, 7 December 2019 15:28,106539,81
229,Economic Growth,Economic Concept, 4 December 2019 07:30,106458,128
230,Economic Growth,Economic Concept, 30 November 2019 12:13,106330,732
231,Economic Growth,Economic Concept, 8 November 2019 20:37,107062,"1,333"
232,Economic Growth,Economic Concept, 28 October 2019 14:59,105729,12
233,Economic Growth,Economic Concept, 28 October 2019 14:58,105717,12
234,Economic Growth,Economic Concept, 8 October 2019 12:43,105729,3
235,Economic Growth,Economic Concept, 8 October 2019 08:29,105726,3
236,Economic Growth,Economic Concept, 28 September 2019 00:37,105729,30
237,Economic Growth,Economic Concept, 28 September 2019 00:36,105759,14
238,Economic Growth,Economic Concept, 27 September 2019 13:20,105773,0
239,Economic Growth,Economic Concept, 27 September 2019 13:19,105773,0
240,Economic Growth,Economic Concept, 27 September 2019 13:19,105773,50
241,Economic Growth,Economic Concept, 27 September 2019 13:17,105823,1
242,Economic Growth,Economic Concept, 24 September 2019 05:18,105822,4
243,Economic Growth,Economic Concept, 23 September 2019 12:44,105826,76
244,Economic Growth,Economic Concept, 19 September 2019 08:57,105750,169
245,Economic Growth,Economic Concept, 3 September 2019 22:27,105919,1
246,Economic Growth,Economic Concept, 3 September 2019 22:26,105920,0
247,Economic Growth,Economic Concept, 28 August 2019 00:03,105920,3
248,Economic Growth,Economic Concept, 27 August 2019 00:44,105917,112
249,Economic Growth,Economic Concept, 19 August 2019 02:29,105805,62
250,Economic Growth,Economic Concept, 19 August 2019 02:25,105867,92
251,Economic Growth,Economic Concept, 19 August 2019 02:19,105959,13
252,Economic Growth,Economic Concept, 19 August 2019 02:15,105972,2
253,Economic Growth,Economic Concept, 19 August 2019 02:08,105970,65
254,Economic Growth,Economic Concept, 19 August 2019 01:57,105905,85
255,Economic Growth,Economic Concept, 16 August 2019 19:29,105820,318
256,Economic Growth,Economic Concept, 15 August 2019 00:09,105502,5
257,Economic Growth,Economic Concept, 13 August 2019 05:58,105497,23
258,Economic Growth,Economic Concept, 2 August 2019 19:40,105474,750
259,Economic Growth,Economic Concept, 19 July 2019 08:03,104724,58
260,Economic Growth,Economic Concept, 9 July 2019 09:33,104666,110
261,Economic Growth,Economic Concept, 2 July 2019 16:56,104776,15
262,Economic Growth,Economic Concept, 2 July 2019 10:19,104761,15
263,Economic Growth,Economic Concept, 27 June 2019 09:26,104776,24
264,Economic Growth,Economic Concept, 23 June 2019 00:31,104752,4
265,Economic Growth,Economic Concept, 17 June 2019 15:08,104756,4
266,Economic Growth,Economic Concept, 28 May 2019 10:28,104760,19
267,Economic Growth,Economic Concept, 18 May 2019 14:49,104779,"1,738"
268,Economic Growth,Economic Concept, 25 April 2019 22:28,103041,"1,069"
269,Economic Growth,Economic Concept, 25 April 2019 21:56,101972,"1,080"
270,Economic Growth,Economic Concept, 24 April 2019 12:16,100892,46
271,Economic Growth,Economic Concept, 24 April 2019 12:15,100846,22
272,Economic Growth,Economic Concept, 24 April 2019 12:10,100824,0
273,Economic Growth,Economic Concept, 24 April 2019 12:09,100824,7
274,Economic Growth,Economic Concept, 24 April 2019 12:08,100831,"1,984"
275,Economic Growth,Economic Concept, 21 April 2019 17:11,98847,"1,246"
276,Economic Growth,Economic Concept, 17 April 2019 21:55,97601,58
277,Economic Growth,Economic Concept, 16 April 2019 21:17,97543,498
278,Economic Growth,Economic Concept, 12 April 2019 23:06,97045,0
279,Economic Growth,Economic Concept, 6 April 2019 17:10,97045,16
280,Economic Growth,Economic Concept, 1 April 2019 11:39,97029,19
281,Economic Growth,Economic Concept, 30 March 2019 19:22,97010,44
282,Economic Growth,Economic Concept, 20 March 2019 20:59,97054,50
283,Economic Growth,Economic Concept, 7 March 2019 08:05,97004,23
284,Economic Growth,Economic Concept, 5 March 2019 11:54,97027,34
285,Economic Growth,Economic Concept, 5 March 2019 02:45,96993,207
286,Economic Growth,Economic Concept, 26 February 2019 02:11,96786,446
287,Economic Growth,Economic Concept, 26 February 2019 02:07,96340,446
288,Economic Growth,Economic Concept, 24 February 2019 15:32,96786,98
289,Economic Growth,Economic Concept, 24 February 2019 15:29,96884,98
290,Economic Growth,Economic Concept, 22 February 2019 17:04,96786,520
291,Economic Growth,Economic Concept, 25 January 2019 16:33,96266,57
292,Economic Growth,Economic Concept, 25 January 2019 15:35,96323,41
293,Economic Growth,Economic Concept, 25 January 2019 15:33,96282,16
294,Economic Growth,Economic Concept, 12 January 2019 11:05,96266,14
295,Economic Growth,Economic Concept, 10 January 2019 15:41,96252,4
296,Economic Growth,Economic Concept, 9 January 2019 17:11,96248,21
297,Economic Growth,Economic Concept, 4 January 2019 21:02,96269,103
298,Economic Growth,Economic Concept, 4 January 2019 09:50,96166,89
299,Economic Growth,Economic Concept, 3 January 2019 20:26,96255,6
300,Economic Growth,Economic Concept, 3 January 2019 20:26,96261,217
301,Economic Growth,Economic Concept, 1 January 2019 14:17,96478,222
302,Economic Growth,Economic Concept, 29 December 2018 21:33,96700,10
303,Economic Growth,Economic Concept, 29 December 2018 21:17,96690,31
304,Economic Growth,Economic Concept, 29 December 2018 21:16,96721,4
305,Economic Growth,Economic Concept, 29 December 2018 19:09,96717,"3,841"
306,Economic Growth,Economic Concept, 29 December 2018 14:01,92876,3
307,Economic Growth,Economic Concept, 29 December 2018 11:06,92879,16
308,Economic Growth,Economic Concept, 28 December 2018 18:13,92863,5
309,Economic Growth,Economic Concept, 28 December 2018 18:12,92868,0
310,Economic Growth,Economic Concept, 28 December 2018 17:49,92868,0
311,Economic Growth,Economic Concept, 28 December 2018 17:37,92868,5
312,Economic Growth,Economic Concept, 28 December 2018 17:33,92863,2
313,Economic Growth,Economic Concept, 28 December 2018 17:31,92861,30
314,Economic Growth,Economic Concept, 28 December 2018 17:30,92891,"2,477"
315,Economic Growth,Economic Concept, 27 December 2018 23:02,90414,"2,848"
316,Economic Growth,Economic Concept, 27 December 2018 16:28,93262,10
317,Economic Growth,Economic Concept, 27 December 2018 10:32,93252,30
318,Economic Growth,Economic Concept, 27 December 2018 10:29,93282,7
319,Economic Growth,Economic Concept, 27 December 2018 10:15,93275,1
320,Economic Growth,Economic Concept, 27 December 2018 02:51,93274,2
321,Economic Growth,Economic Concept, 26 December 2018 22:23,93276,29
322,Economic Growth,Economic Concept, 26 December 2018 22:19,93247,"2,833"
323,Economic Growth,Economic Concept, 26 December 2018 21:50,90414,33
324,Economic Growth,Economic Concept, 26 December 2018 21:03,90381,2
325,Economic Growth,Economic Concept, 26 December 2018 18:15,90379,342
326,Economic Growth,Economic Concept, 26 December 2018 18:10,90721,25
327,Economic Growth,Economic Concept, 13 December 2018 22:54,90696,"1,193"
328,Economic Growth,Economic Concept, 13 December 2018 13:47,89503,22
329,Economic Growth,Economic Concept, 13 December 2018 13:46,89481,449
330,Economic Growth,Economic Concept, 13 December 2018 13:23,89032,"1,247"
331,Economic Growth,Economic Concept, 13 December 2018 10:32,87785,"2,343"
332,Economic Growth,Economic Concept, 12 December 2018 19:40,90128,"1,415"
333,Economic Growth,Economic Concept, 11 December 2018 19:06,88713,31
334,Economic Growth,Economic Concept, 11 December 2018 18:25,88744,188
335,Economic Growth,Economic Concept, 11 December 2018 11:15,88556,8
336,Economic Growth,Economic Concept, 11 December 2018 11:14,88564,43
337,Economic Growth,Economic Concept, 11 December 2018 10:30,88521,2
338,Economic Growth,Economic Concept, 11 December 2018 10:29,88523,6
339,Economic Growth,Economic Concept, 11 December 2018 10:28,88529,"1,694"
340,Economic Growth,Economic Concept, 10 December 2018 15:57,86835,37
341,Economic Growth,Economic Concept, 10 December 2018 15:55,86872,23
342,Economic Growth,Economic Concept, 10 December 2018 15:54,86849,23
343,Economic Growth,Economic Concept, 10 December 2018 15:54,86872,13
344,Economic Growth,Economic Concept, 10 December 2018 15:53,86859,20
345,Economic Growth,Economic Concept, 10 December 2018 15:53,86879,20
346,Economic Growth,Economic Concept, 7 December 2018 17:21,86859,67
347,Economic Growth,Economic Concept, 7 December 2018 17:15,86926,7
348,Economic Growth,Economic Concept, 7 December 2018 17:14,86919,60
349,Economic Growth,Economic Concept, 2 December 2018 11:51,86859,172
350,Economic Growth,Economic Concept, 2 December 2018 11:50,87031,172
351,Economic Growth,Economic Concept, 30 November 2018 01:24,86859,14
352,Economic Growth,Economic Concept, 30 November 2018 01:24,86873,14
353,Economic Growth,Economic Concept, 30 November 2018 01:22,86859,7
354,Economic Growth,Economic Concept, 30 November 2018 01:22,86852,7
355,Economic Growth,Economic Concept, 27 November 2018 16:25,86859,23
356,Economic Growth,Economic Concept, 27 November 2018 16:12,86882,16
357,Economic Growth,Economic Concept, 25 November 2018 09:30,86866,21
358,Economic Growth,Economic Concept, 25 November 2018 09:30,86845,38
359,Economic Growth,Economic Concept, 25 November 2018 09:29,86807,41
360,Economic Growth,Economic Concept, 25 November 2018 09:29,86848,170
361,Economic Growth,Economic Concept, 22 November 2018 03:44,86678,2
362,Economic Growth,Economic Concept, 20 November 2018 02:15,86676,221
363,Economic Growth,Economic Concept, 9 November 2018 08:17,86455,1
364,Economic Growth,Economic Concept, 8 November 2018 06:17,86456,1
365,Economic Growth,Economic Concept, 2 November 2018 00:41,86455,14
366,Economic Growth,Economic Concept, 2 November 2018 00:32,86469,5
367,Economic Growth,Economic Concept, 16 October 2018 22:45,86464,18
368,Economic Growth,Economic Concept, 12 October 2018 02:31,86482,2
369,Economic Growth,Economic Concept, 12 October 2018 01:51,86480,2
370,Economic Growth,Economic Concept, 9 October 2018 17:40,86482,5
371,Economic Growth,Economic Concept, 9 October 2018 17:37,86477,22
372,Economic Growth,Economic Concept, 9 October 2018 05:33,86499,156
373,Economic Growth,Economic Concept, 3 October 2018 04:37,86655,286
374,Economic Growth,Economic Concept, 28 September 2018 01:18,86941,286
375,Economic Growth,Economic Concept, 26 September 2018 21:46,86655,286
376,Economic Growth,Economic Concept, 15 September 2018 21:14,86941,374
377,Economic Growth,Economic Concept, 11 September 2018 09:50,86567,374
378,Economic Growth,Economic Concept, 31 August 2018 01:53,86941,25
379,Economic Growth,Economic Concept, 31 August 2018 01:52,86916,42
380,Economic Growth,Economic Concept, 27 August 2018 07:01,86874,14
381,Economic Growth,Economic Concept, 21 August 2018 07:37,86860,"1,072"
382,Economic Growth,Economic Concept, 5 August 2018 16:20,85788,36
383,Economic Growth,Economic Concept, 26 July 2018 07:39,85752,8
384,Economic Growth,Economic Concept, 26 July 2018 07:38,85760,8
385,Economic Growth,Economic Concept, 24 July 2018 07:13,85752,309
386,Economic Growth,Economic Concept, 29 June 2018 09:44,85443,404
387,Economic Growth,Economic Concept, 29 June 2018 09:42,85039,404
388,Economic Growth,Economic Concept, 21 May 2018 16:02,85443,18
389,Economic Growth,Economic Concept, 21 May 2018 15:55,85425,13
390,Economic Growth,Economic Concept, 21 May 2018 15:52,85438,587
391,Economic Growth,Economic Concept, 21 May 2018 15:51,86025,272
392,Economic Growth,Economic Concept, 16 May 2018 17:45,85753,90
393,Economic Growth,Economic Concept, 9 May 2018 04:42,85663,7
394,Economic Growth,Economic Concept, 8 May 2018 23:55,85656,285
395,Economic Growth,Economic Concept, 7 May 2018 00:19,85371,26
396,Economic Growth,Economic Concept, 6 May 2018 13:05,85345,3
397,Economic Growth,Economic Concept, 6 May 2018 13:04,85342,372
398,Economic Growth,Economic Concept, 16 April 2018 12:55,84970,299
399,Economic Growth,Economic Concept, 16 April 2018 12:27,85269,190
400,Economic Growth,Economic Concept, 16 April 2018 11:59,85459,190
401,Economic Growth,Economic Concept, 5 April 2018 04:28,85269,198
402,Economic Growth,Economic Concept, 3 April 2018 20:51,85071,4
403,Economic Growth,Economic Concept, 27 March 2018 15:36,85075,41
404,Economic Growth,Economic Concept, 24 March 2018 01:54,85034,90
405,Economic Growth,Economic Concept, 24 March 2018 01:51,84944,41
406,Economic Growth,Economic Concept, 24 March 2018 01:49,84903,3
407,Economic Growth,Economic Concept, 24 March 2018 01:47,84906,229
408,Economic Growth,Economic Concept, 24 March 2018 01:46,85135,112
409,Economic Growth,Economic Concept, 24 March 2018 01:34,85247,249
410,Economic Growth,Economic Concept, 24 March 2018 01:30,84998,118
411,Economic Growth,Economic Concept, 24 March 2018 01:26,84880,687
412,Economic Growth,Economic Concept, 24 March 2018 01:10,84193,47
413,Economic Growth,Economic Concept, 24 March 2018 01:06,84240,79
414,Economic Growth,Economic Concept, 24 March 2018 01:00,84319,180
415,Economic Growth,Economic Concept, 24 March 2018 00:40,84139,359
416,Economic Growth,Economic Concept, 21 March 2018 20:09,83780,28
417,Economic Growth,Economic Concept, 17 March 2018 21:34,83808,1
418,Economic Growth,Economic Concept, 17 March 2018 21:34,83807,1
