Census 2021 Super Data Zone Code,Census 2021 Super Data Zone Label,Economic Activity - 9 Categories Code,Economic Activity - 9 Categories Label,Count
N21000013,Antrim_G,-8,No code required,299
N21000014,Antrim_H,1,Economically active: Employee (including full-time students),511
N21000014,Antrim_H,2,Economically active: Self-employed (including full-time students),45
N21000014,Antrim_H,3,Economically active: Unemployed (including full-time students),47
N21000014,Antrim_H,4,Economically inactive: Retired,174
N21000014,Antrim_H,5,Economically inactive: Student,67
N21000014,Antrim_H,6,Economically inactive: Looking after home or family,76
N21000014,Antrim_H,7,Economically inactive: Long-term sick or disabled,127
N21000014,Antrim_H,8,Economically inactive: Other,42
N21000014,Antrim_H,-8,No code required,306
N21000015,Antrim_J,1,Economically active: Employee (including full-time students),958
N21000015,Antrim_J,2,Economically active: Self-employed (including full-time students),108
N21000015,Antrim_J,3,Economically active: Unemployed (including full-time students),38
N21000015,Antrim_J,4,Economically inactive: Retired,595
N21000015,Antrim_J,5,Economically inactive: Student,66
N21000015,Antrim_J,6,Economically inactive: Looking after home or family,51
N21000015,Antrim_J,7,Economically inactive: Long-term sick or disabled,73
N21000015,Antrim_J,8,Economically inactive: Other,38
N21000015,Antrim_J,-8,No code required,369
N21000016,Antrim_K,1,Economically active: Employee (including full-time students),712
N21000016,Antrim_K,2,Economically active: Self-employed (including full-time students),53
N21000016,Antrim_K,3,Economically active: Unemployed (including full-time students),64
N21000016,Antrim_K,4,Economically inactive: Retired,298
N21000016,Antrim_K,5,Economically inactive: Student,85
N21000016,Antrim_K,6,Economically inactive: Looking after home or family,132
N21000016,Antrim_K,7,Economically inactive: Long-term sick or disabled,242
N21000016,Antrim_K,8,Economically inactive: Other,71
N21000016,Antrim_K,-8,No code required,496
N21000017,Antrim_L,1,Economically active: Employee (including full-time students),990
N21000017,Antrim_L,2,Economically active: Self-employed (including full-time students),105
N21000017,Antrim_L,3,Economically active: Unemployed (including full-time students),38
N21000017,Antrim_L,4,Economically inactive: Retired,248
N21000017,Antrim_L,5,Economically inactive: Student,80
N21000017,Antrim_L,6,Economically inactive: Looking after home or family,36
N21000017,Antrim_L,7,Economically inactive: Long-term sick or disabled,76
N21000017,Antrim_L,8,Economically inactive: Other,34
N21000017,Antrim_L,-8,No code required,439
N21000018,Antrim_N,1,Economically active: Employee (including full-time students),664
N21000018,Antrim_N,2,Economically active: Self-employed (including full-time students),51
N21000018,Antrim_N,3,Economically active: Unemployed (including full-time students),37
N21000018,Antrim_N,4,Economically inactive: Retired,349
N21000018,Antrim_N,5,Economically inactive: Student,30
N21000018,Antrim_N,6,Economically inactive: Looking after home or family,51
N21000018,Antrim_N,7,Economically inactive: Long-term sick or disabled,116
N21000018,Antrim_N,8,Economically inactive: Other,44
N21000018,Antrim_N,-8,No code required,227
N21000019,Ballyclare_A,1,Economically active: Employee (including full-time students),930
N21000019,Ballyclare_A,2,Economically active: Self-employed (including full-time students),156
N21000019,Ballyclare_A,3,Economically active: Unemployed (including full-time students),36
N21000019,Ballyclare_A,4,Economically inactive: Retired,302
N21000019,Ballyclare_A,5,Economically inactive: Student,60
N21000019,Ballyclare_A,6,Economically inactive: Looking after home or family,58
N21000019,Ballyclare_A,7,Economically inactive: Long-term sick or disabled,52
N21000019,Ballyclare_A,8,Economically inactive: Other,34
N21000019,Ballyclare_A,-8,No code required,400
N21000020,Ballyclare_B,1,Economically active: Employee (including full-time students),1332
N21000020,Ballyclare_B,2,Economically active: Self-employed (including full-time students),135
N21000020,Ballyclare_B,3,Economically active: Unemployed (including full-time students),57
N21000020,Ballyclare_B,4,Economically inactive: Retired,467
N21000020,Ballyclare_B,5,Economically inactive: Student,120
N21000020,Ballyclare_B,6,Economically inactive: Looking after home or family,91
N21000020,Ballyclare_B,7,Economically inactive: Long-term sick or disabled,104
N21000020,Ballyclare_B,8,Economically inactive: Other,46
N21000020,Ballyclare_B,-8,No code required,662
N21000021,Ballyclare_C,1,Economically active: Employee (including full-time students),763
N21000021,Ballyclare_C,2,Economically active: Self-employed (including full-time students),83
N21000021,Ballyclare_C,3,Economically active: Unemployed (including full-time students),63
N21000021,Ballyclare_C,4,Economically inactive: Retired,419
N21000021,Ballyclare_C,5,Economically inactive: Student,63
N21000021,Ballyclare_C,6,Economically inactive: Looking after home or family,113
N21000021,Ballyclare_C,7,Economically inactive: Long-term sick or disabled,252
N21000021,Ballyclare_C,8,Economically inactive: Other,112
N21000021,Ballyclare_C,-8,No code required,491
N21000022,Ballyclare_D,1,Economically active: Employee (including full-time students),1153
N21000022,Ballyclare_D,2,Economically active: Self-employed (including full-time students),109
N21000022,Ballyclare_D,3,Economically active: Unemployed (including full-time students),60
N21000022,Ballyclare_D,4,Economically inactive: Retired,390
N21000022,Ballyclare_D,5,Economically inactive: Student,89
N21000022,Ballyclare_D,6,Economically inactive: Looking after home or family,93
N21000022,Ballyclare_D,7,Economically inactive: Long-term sick or disabled,100
N21000022,Ballyclare_D,8,Economically inactive: Other,49
N21000022,Ballyclare_D,-8,No code required,495
N21000023,Ballyclare_E,1,Economically active: Employee (including full-time students),1315
N21000023,Ballyclare_E,2,Economically active: Self-employed (including full-time students),157
N21000023,Ballyclare_E,3,Economically active: Unemployed (including full-time students),39
N21000023,Ballyclare_E,4,Economically inactive: Retired,581
N21000023,Ballyclare_E,5,Economically inactive: Student,98
N21000023,Ballyclare_E,6,Economically inactive: Looking after home or family,68
N21000023,Ballyclare_E,7,Economically inactive: Long-term sick or disabled,77
N21000023,Ballyclare_E,8,Economically inactive: Other,46
N21000023,Ballyclare_E,-8,No code required,555
N21000024,Ballyclare_F,1,Economically active: Employee (including full-time students),1316
N21000024,Ballyclare_F,2,Economically active: Self-employed (including full-time students),303
N21000024,Ballyclare_F,3,Economically active: Unemployed (including full-time students),54
N21000024,Ballyclare_F,4,Economically inactive: Retired,580
N21000024,Ballyclare_F,5,Economically inactive: Student,102
N21000024,Ballyclare_F,6,Economically inactive: Looking after home or family,102
N21000024,Ballyclare_F,7,Economically inactive: Long-term sick or disabled,83
N21000024,Ballyclare_F,8,Economically inactive: Other,29
N21000024,Ballyclare_F,-8,No code required,618
N21000025,Ballyclare_G,1,Economically active: Employee (including full-time students),614
N21000025,Ballyclare_G,2,Economically active: Self-employed (including full-time students),73
N21000025,Ballyclare_G,3,Economically active: Unemployed (including full-time students),29
N21000025,Ballyclare_G,4,Economically inactive: Retired,294
N21000025,Ballyclare_G,5,Economically inactive: Student,40
N21000025,Ballyclare_G,6,Economically inactive: Looking after home or family,36
N21000025,Ballyclare_G,7,Economically inactive: Long-term sick or disabled,39
N21000025,Ballyclare_G,8,Economically inactive: Other,24
N21000025,Ballyclare_G,-8,No code required,253
N21000026,Ballyclare_H,1,Economically active: Employee (including full-time students),674
N21000026,Ballyclare_H,2,Economically active: Self-employed (including full-time students),130
N21000026,Ballyclare_H,3,Economically active: Unemployed (including full-time students),13
N21000026,Ballyclare_H,4,Economically inactive: Retired,319
N21000026,Ballyclare_H,5,Economically inactive: Student,50
N21000026,Ballyclare_H,6,Economically inactive: Looking after home or family,35
N21000026,Ballyclare_H,7,Economically inactive: Long-term sick or disabled,32
N21000026,Ballyclare_H,8,Economically inactive: Other,25
N21000026,Ballyclare_H,-8,No code required,322
N21000027,Three_Mile_Water_A,1,Economically active: Employee (including full-time students),897
N21000027,Three_Mile_Water_A,2,Economically active: Self-employed (including full-time students),85
N21000027,Three_Mile_Water_A,3,Economically active: Unemployed (including full-time students),49
N21000027,Three_Mile_Water_A,4,Economically inactive: Retired,322
N21000027,Three_Mile_Water_A,5,Economically inactive: Student,61
N21000027,Three_Mile_Water_A,6,Economically inactive: Looking after home or family,106
N21000027,Three_Mile_Water_A,7,Economically inactive: Long-term sick or disabled,171
N21000027,Three_Mile_Water_A,8,Economically inactive: Other,49
N21000027,Three_Mile_Water_A,-8,No code required,477
N21000028,Three_Mile_Water_B,1,Economically active: Employee (including full-time students),558
N21000028,Three_Mile_Water_B,2,Economically active: Self-employed (including full-time students),87
N21000028,Three_Mile_Water_B,3,Economically active: Unemployed (including full-time students),16
N21000028,Three_Mile_Water_B,4,Economically inactive: Retired,362
N21000028,Three_Mile_Water_B,5,Economically inactive: Student,51
N21000028,Three_Mile_Water_B,6,Economically inactive: Looking after home or family,36
N21000028,Three_Mile_Water_B,7,Economically inactive: Long-term sick or disabled,55
N21000028,Three_Mile_Water_B,8,Economically inactive: Other,15
N21000028,Three_Mile_Water_B,-8,No code required,178
N21000029,Three_Mile_Water_C,1,Economically active: Employee (including full-time students),1004
N21000029,Three_Mile_Water_C,2,Economically active: Self-employed (including full-time students),110
N21000029,Three_Mile_Water_C,3,Economically active: Unemployed (including full-time students),36
N21000029,Three_Mile_Water_C,4,Economically inactive: Retired,285
N21000029,Three_Mile_Water_C,5,Economically inactive: Student,96
N21000029,Three_Mile_Water_C,6,Economically inactive: Looking after home or family,44
N21000029,Three_Mile_Water_C,7,Economically inactive: Long-term sick or disabled,31
N21000029,Three_Mile_Water_C,8,Economically inactive: Other,21
N21000029,Three_Mile_Water_C,-8,No code required,425
N21000030,Three_Mile_Water_D,1,Economically active: Employee (including full-time students),837
N21000030,Three_Mile_Water_D,2,Economically active: Self-employed (including full-time students),93
N21000030,Three_Mile_Water_D,3,Economically active: Unemployed (including full-time students),35
N21000030,Three_Mile_Water_D,4,Economically inactive: Retired,516
N21000030,Three_Mile_Water_D,5,Economically inactive: Student,55
N21000030,Three_Mile_Water_D,6,Economically inactive: Looking after home or family,54
N21000030,Three_Mile_Water_D,7,Economically inactive: Long-term sick or disabled,71
N21000030,Three_Mile_Water_D,8,Economically inactive: Other,27
N21000030,Three_Mile_Water_D,-8,No code required,271
N21000031,Three_Mile_Water_E,1,Economically active: Employee (including full-time students),980
N21000031,Three_Mile_Water_E,2,Economically active: Self-employed (including full-time students),183
N21000031,Three_Mile_Water_E,3,Economically active: Unemployed (including full-time students),48
N21000031,Three_Mile_Water_E,4,Economically inactive: Retired,624
N21000031,Three_Mile_Water_E,5,Economically inactive: Student,113
N21000031,Three_Mile_Water_E,6,Economically inactive: Looking after home or family,58
N21000031,Three_Mile_Water_E,7,Economically inactive: Long-term sick or disabled,35
N21000031,Three_Mile_Water_E,8,Economically inactive: Other,26
N21000031,Three_Mile_Water_E,-8,No code required,453
N21000032,Three_Mile_Water_F,1,Economically active: Employee (including full-time students),629
N21000032,Three_Mile_Water_F,2,Economically active: Self-employed (including full-time students),47
N21000032,Three_Mile_Water_F,3,Economically active: Unemployed (including full-time students),60
N21000032,Three_Mile_Water_F,4,Economically inactive: Retired,281
N21000032,Three_Mile_Water_F,5,Economically inactive: Student,59
N21000032,Three_Mile_Water_F,6,Economically inactive: Looking after home or family,116
N21000032,Three_Mile_Water_F,7,Economically inactive: Long-term sick or disabled,169
N21000032,Three_Mile_Water_F,8,Economically inactive: Other,68
N21000032,Three_Mile_Water_F,-8,No code required,470
N21000033,Three_Mile_Water_G,1,Economically active: Employee (including full-time students),1153
N21000033,Three_Mile_Water_G,2,Economically active: Self-employed (including full-time students),179
N21000033,Three_Mile_Water_G,3,Economically active: Unemployed (including full-time students),50
N21000033,Three_Mile_Water_G,4,Economically inactive: Retired,537
N21000033,Three_Mile_Water_G,5,Economically inactive: Student,273
N21000033,Three_Mile_Water_G,6,Economically inactive: Looking after home or family,40
N21000033,Three_Mile_Water_G,7,Economically inactive: Long-term sick or disabled,63
N21000033,Three_Mile_Water_G,8,Economically inactive: Other,36
N21000033,Three_Mile_Water_G,-8,No code required,465
N21000034,Three_Mile_Water_H,1,Economically active: Employee (including full-time students),1014
N21000034,Three_Mile_Water_H,2,Economically active: Self-employed (including full-time students),85
N21000034,Three_Mile_Water_H,3,Economically active: Unemployed (including full-time students),44
N21000034,Three_Mile_Water_H,4,Economically inactive: Retired,484
N21000034,Three_Mile_Water_H,5,Economically inactive: Student,65
N21000034,Three_Mile_Water_H,6,Economically inactive: Looking after home or family,62
N21000034,Three_Mile_Water_H,7,Economically inactive: Long-term sick or disabled,80
N21000034,Three_Mile_Water_H,8,Economically inactive: Other,37
N21000034,Three_Mile_Water_H,-8,No code required,399
N21000035,Three_Mile_Water_J,1,Economically active: Employee (including full-time students),483
N21000035,Three_Mile_Water_J,2,Economically active: Self-employed (including full-time students),47
N21000035,Three_Mile_Water_J,3,Economically active: Unemployed (including full-time students),65
N21000035,Three_Mile_Water_J,4,Economically inactive: Retired,174
N21000035,Three_Mile_Water_J,5,Economically inactive: Student,45
N21000035,Three_Mile_Water_J,6,Economically inactive: Looking after home or family,88
N21000035,Three_Mile_Water_J,7,Economically inactive: Long-term sick or disabled,155
N21000035,Three_Mile_Water_J,8,Economically inactive: Other,54
N21000035,Three_Mile_Water_J,-8,No code required,350
N21000036,Three_Mile_Water_K,1,Economically active: Employee (including full-time students),937
N21000036,Three_Mile_Water_K,2,Economically active: Self-employed (including full-time students),98
N21000036,Three_Mile_Water_K,3,Economically active: Unemployed (including full-time students),62
N21000036,Three_Mile_Water_K,4,Economically inactive: Retired,316
N21000036,Three_Mile_Water_K,5,Economically inactive: Student,72
N21000036,Three_Mile_Water_K,6,Economically inactive: Looking after home or family,70
N21000036,Three_Mile_Water_K,7,Economically inactive: Long-term sick or disabled,115
N21000036,Three_Mile_Water_K,8,Economically inactive: Other,33
N21000036,Three_Mile_Water_K,-8,No code required,419
N21000037,Macedon_A,1,Economically active: Employee (including full-time students),763
N21000037,Macedon_A,2,Economically active: Self-employed (including full-time students),84
N21000037,Macedon_A,3,Economically active: Unemployed (including full-time students),28
N21000037,Macedon_A,4,Economically inactive: Retired,288
N21000037,Macedon_A,5,Economically inactive: Student,59
N21000037,Macedon_A,6,Economically inactive: Looking after home or family,39
N21000037,Macedon_A,7,Economically inactive: Long-term sick or disabled,53
N21000037,Macedon_A,8,Economically inactive: Other,23
N21000037,Macedon_A,-8,No code required,331
N21000038,Macedon_B,1,Economically active: Employee (including full-time students),849
N21000038,Macedon_B,2,Economically active: Self-employed (including full-time students),108
N21000038,Macedon_B,3,Economically active: Unemployed (including full-time students),67
N21000038,Macedon_B,4,Economically inactive: Retired,400
N21000038,Macedon_B,5,Economically inactive: Student,56
N21000038,Macedon_B,6,Economically inactive: Looking after home or family,56
N21000038,Macedon_B,7,Economically inactive: Long-term sick or disabled,133
N21000038,Macedon_B,8,Economically inactive: Other,38
N21000038,Macedon_B,-8,No code required,374
N21000039,Macedon_C,1,Economically active: Employee (including full-time students),984
N21000039,Macedon_C,2,Economically active: Self-employed (including full-time students),83
N21000039,Macedon_C,3,Economically active: Unemployed (including full-time students),51
N21000039,Macedon_C,4,Economically inactive: Retired,362
N21000039,Macedon_C,5,Economically inactive: Student,87
N21000039,Macedon_C,6,Economically inactive: Looking after home or family,65
N21000039,Macedon_C,7,Economically inactive: Long-term sick or disabled,119
N21000039,Macedon_C,8,Economically inactive: Other,39
N21000039,Macedon_C,-8,No code required,422
N21000040,Macedon_D,1,Economically active: Employee (including full-time students),600
N21000040,Macedon_D,2,Economically active: Self-employed (including full-time students),51
N21000040,Macedon_D,3,Economically active: Unemployed (including full-time students),43
N21000040,Macedon_D,4,Economically inactive: Retired,228
N21000040,Macedon_D,5,Economically inactive: Student,71
N21000040,Macedon_D,6,Economically inactive: Looking after home or family,94
N21000040,Macedon_D,7,Economically inactive: Long-term sick or disabled,163
N21000040,Macedon_D,8,Economically inactive: Other,64
N21000040,Macedon_D,-8,No code required,472
N21000041,Macedon_E,1,Economically active: Employee (including full-time students),620
N21000041,Macedon_E,2,Economically active: Self-employed (including full-time students),56
N21000041,Macedon_E,3,Economically active: Unemployed (including full-time students),55
N21000041,Macedon_E,4,Economically inactive: Retired,287
N21000041,Macedon_E,5,Economically inactive: Student,62
N21000041,Macedon_E,6,Economically inactive: Looking after home or family,77
N21000041,Macedon_E,7,Economically inactive: Long-term sick or disabled,121
N21000041,Macedon_E,8,Economically inactive: Other,49
N21000041,Macedon_E,-8,No code required,349
N21000042,Macedon_F,1,Economically active: Employee (including full-time students),551
N21000042,Macedon_F,2,Economically active: Self-employed (including full-time students),53
N21000042,Macedon_F,3,Economically active: Unemployed (including full-time students),52
N21000042,Macedon_F,4,Economically inactive: Retired,214
N21000042,Macedon_F,5,Economically inactive: Student,65
N21000042,Macedon_F,6,Economically inactive: Looking after home or family,112
N21000042,Macedon_F,7,Economically inactive: Long-term sick or disabled,186
N21000042,Macedon_F,8,Economically inactive: Other,44
N21000042,Macedon_F,-8,No code required,398
N21000043,Macedon_G,1,Economically active: Employee (including full-time students),652
N21000043,Macedon_G,2,Economically active: Self-employed (including full-time students),56
N21000043,Macedon_G,3,Economically active: Unemployed (including full-time students),60
N21000043,Macedon_G,4,Economically inactive: Retired,259
N21000043,Macedon_G,5,Economically inactive: Student,58
N21000043,Macedon_G,6,Economically inactive: Looking after home or family,106
N21000043,Macedon_G,7,Economically inactive: Long-term sick or disabled,281
N21000043,Macedon_G,8,Economically inactive: Other,104
N21000043,Macedon_G,-8,No code required,329
N21000044,Macedon_H,1,Economically active: Employee (including full-time students),526
N21000044,Macedon_H,2,Economically active: Self-employed (including full-time students),61
N21000044,Macedon_H,3,Economically active: Unemployed (including full-time students),30
N21000044,Macedon_H,4,Economically inactive: Retired,375
N21000044,Macedon_H,5,Economically inactive: Student,28
N21000044,Macedon_H,6,Economically inactive: Looking after home or family,25
N21000044,Macedon_H,7,Economically inactive: Long-term sick or disabled,93
N21000044,Macedon_H,8,Economically inactive: Other,33
N21000044,Macedon_H,-8,No code required,135
N21000045,Macedon_J,1,Economically active: Employee (including full-time students),859
N21000045,Macedon_J,2,Economically active: Self-employed (including full-time students),68
N21000045,Macedon_J,3,Economically active: Unemployed (including full-time students),49
N21000045,Macedon_J,4,Economically inactive: Retired,311
N21000045,Macedon_J,5,Economically inactive: Student,58
N21000045,Macedon_J,6,Economically inactive: Looking after home or family,79
N21000045,Macedon_J,7,Economically inactive: Long-term sick or disabled,157
N21000045,Macedon_J,8,Economically inactive: Other,61
N21000045,Macedon_J,-8,No code required,407
N21000046,Macedon_K,1,Economically active: Employee (including full-time students),637
N21000046,Macedon_K,2,Economically active: Self-employed (including full-time students),73
N21000046,Macedon_K,3,Economically active: Unemployed (including full-time students),45
N21000046,Macedon_K,4,Economically inactive: Retired,353
N21000046,Macedon_K,5,Economically inactive: Student,54
N21000046,Macedon_K,6,Economically inactive: Looking after home or family,89
N21000046,Macedon_K,7,Economically inactive: Long-term sick or disabled,223
N21000046,Macedon_K,8,Economically inactive: Other,74
N21000046,Macedon_K,-8,No code required,339
N21000047,Macedon_L,1,Economically active: Employee (including full-time students),621
N21000047,Macedon_L,2,Economically active: Self-employed (including full-time students),59
N21000047,Macedon_L,3,Economically active: Unemployed (including full-time students),60
N21000047,Macedon_L,4,Economically inactive: Retired,293
N21000047,Macedon_L,5,Economically inactive: Student,92
N21000047,Macedon_L,6,Economically inactive: Looking after home or family,142
N21000047,Macedon_L,7,Economically inactive: Long-term sick or disabled,211
N21000047,Macedon_L,8,Economically inactive: Other,73
N21000047,Macedon_L,-8,No code required,539
N21000048,Glengormley_Urban_A,1,Economically active: Employee (including full-time students),553
N21000048,Glengormley_Urban_A,2,Economically active: Self-employed (including full-time students),51
N21000048,Glengormley_Urban_A,3,Economically active: Unemployed (including full-time students),37
N21000048,Glengormley_Urban_A,4,Economically inactive: Retired,249
N21000048,Glengormley_Urban_A,5,Economically inactive: Student,58
N21000048,Glengormley_Urban_A,6,Economically inactive: Looking after home or family,68
N21000048,Glengormley_Urban_A,7,Economically inactive: Long-term sick or disabled,121
N21000048,Glengormley_Urban_A,8,Economically inactive: Other,50
N21000048,Glengormley_Urban_A,-8,No code required,312
N21000049,Glengormley_Urban_B,1,Economically active: Employee (including full-time students),737
N21000049,Glengormley_Urban_B,2,Economically active: Self-employed (including full-time students),84
N21000049,Glengormley_Urban_B,3,Economically active: Unemployed (including full-time students),33
N21000049,Glengormley_Urban_B,4,Economically inactive: Retired,750
N21000049,Glengormley_Urban_B,5,Economically inactive: Student,50
N21000049,Glengormley_Urban_B,6,Economically inactive: Looking after home or family,57
N21000049,Glengormley_Urban_B,7,Economically inactive: Long-term sick or disabled,73
N21000049,Glengormley_Urban_B,8,Economically inactive: Other,40
N21000049,Glengormley_Urban_B,-8,No code required,257
N21000050,Glengormley_Urban_C,1,Economically active: Employee (including full-time students),1112
N21000050,Glengormley_Urban_C,2,Economically active: Self-employed (including full-time students),110
N21000050,Glengormley_Urban_C,3,Economically active: Unemployed (including full-time students),33
N21000050,Glengormley_Urban_C,4,Economically inactive: Retired,399
N21000050,Glengormley_Urban_C,5,Economically inactive: Student,95
N21000050,Glengormley_Urban_C,6,Economically inactive: Looking after home or family,52
