Date,Month,Job openings rate,Unemployment rate,Period
2015-02-01,2015 FEB,2.5,5.9,2013-2020
2015-03-01,2015 MAR,2.5,5.7,2013-2020
2015-04-01,2015 APR,2.5,5.7,2013-2020
2015-05-01,2015 MAY,2.5,5.6,2013-2020
2015-06-01,2015 JUN,2.5,5.5,2013-2020
2015-07-01,2015 JUL,2.6,5.5,2013-2020
2015-08-01,2015 AUG,2.5,5.6,2013-2020
2015-09-01,2015 SEP,2.6,5.6,2013-2020
2015-10-01,2015 OCT,2.6,5.5,2013-2020
2015-11-01,2015 NOV,2.6,5.4,2013-2020
2015-12-01,2015 DEC,2.6,5.3,2013-2020
2016-01-01,2016 JAN,2.5,5.2,2013-2020
2016-02-01,2016 FEB,2.5,5.1,2013-2020
2016-03-01,2016 MAR,2.5,5.1,2013-2020
2016-04-01,2016 APR,2.5,5.1,2013-2020
2016-05-01,2016 MAY,2.5,5.1,2013-2020
2016-06-01,2016 JUN,2.5,5.1,2013-2020
2016-07-01,2016 JUL,2.5,5,2013-2020
2016-08-01,2016 AUG,2.6,4.9,2013-2020
2016-09-01,2016 SEP,2.6,4.9,2013-2020
2016-10-01,2016 OCT,2.6,4.9,2013-2020
2016-11-01,2016 NOV,2.6,5,2013-2020
2016-12-01,2016 DEC,2.6,4.8,2013-2020
2017-01-01,2017 JAN,2.6,4.8,2013-2020
2017-02-01,2017 FEB,2.6,4.8,2013-2020
2017-03-01,2017 MAR,2.6,4.7,2013-2020
2017-04-01,2017 APR,2.6,4.7,2013-2020
2017-05-01,2017 MAY,2.6,4.6,2013-2020
2017-06-01,2017 JUN,2.6,4.6,2013-2020
2017-07-01,2017 JUL,2.6,4.5,2013-2020
2017-08-01,2017 AUG,2.7,4.4,2013-2020
2017-09-01,2017 SEP,2.7,4.4,2013-2020
2017-10-01,2017 OCT,2.7,4.3,2013-2020
2017-11-01,2017 NOV,2.7,4.3,2013-2020
2017-12-01,2017 DEC,2.8,4.3,2013-2020
2018-01-01,2018 JAN,2.7,4.2,2013-2020
2018-02-01,2018 FEB,2.7,4.3,2013-2020
2018-03-01,2018 MAR,2.7,4.4,2013-2020
2018-04-01,2018 APR,2.7,4.3,2013-2020
2018-05-01,2018 MAY,2.8,4.2,2013-2020
2018-06-01,2018 JUN,2.8,4.2,2013-2020
2018-07-01,2018 JUL,2.8,4.2,2013-2020
2018-08-01,2018 AUG,2.8,4.2,2013-2020
2018-09-01,2018 SEP,2.9,4,2013-2020
2018-10-01,2018 OCT,2.9,4,2013-2020
2018-11-01,2018 NOV,2.8,4,2013-2020
2018-12-01,2018 DEC,2.9,4.1,2013-2020
2019-01-01,2019 JAN,2.8,4.1,2013-2020
2019-02-01,2019 FEB,2.8,4,2013-2020
2019-03-01,2019 MAR,2.8,4,2013-2020
2019-04-01,2019 APR,2.7,3.9,2013-2020
2019-05-01,2019 MAY,2.7,3.9,2013-2020
2019-06-01,2019 JUN,2.7,3.8,2013-2020
2019-07-01,2019 JUL,2.7,3.8,2013-2020
2019-08-01,2019 AUG,2.7,3.8,2013-2020
2019-09-01,2019 SEP,2.7,3.9,2013-2020
2019-10-01,2019 OCT,2.6,3.8,2013-2020
2019-11-01,2019 NOV,2.7,3.9,2013-2020
2019-12-01,2019 DEC,2.7,3.8,2013-2020
2020-01-01,2020 JAN,2.7,3.8,2013-2020
2020-02-01,2020 FEB,2.6,3.8,2013-2020
2020-03-01,2020 MAR,2.1,3.8,2020-2023
2020-04-01,2020 APR,1.6,3.9,2020-2023
2020-05-01,2020 MAY,1.1,4,2020-2023
2020-06-01,2020 JUN,1.2,4,2020-2023
2020-07-01,2020 JUL,1.4,4.1,2020-2023
2020-08-01,2020 AUG,1.6,4.1,2020-2023
2020-09-01,2020 SEP,1.8,4.1,2020-2023
2020-10-01,2020 OCT,1.8,4.3,2020-2023
2020-11-01,2020 NOV,2,4.6,2020-2023
2020-12-01,2020 DEC,2.1,4.9,2020-2023
2021-01-01,2021 JAN,2.1,5.1,2020-2023
2021-02-01,2021 FEB,2.1,5.1,2020-2023
2021-03-01,2021 MAR,2.2,5.2,2020-2023
2021-04-01,2021 APR,2.5,5.1,2020-2023
2021-05-01,2021 MAY,2.8,5.1,2020-2023
2021-06-01,2021 JUN,3.2,4.9,2020-2023
2021-07-01,2021 JUL,3.5,4.9,2020-2023
2021-08-01,2021 AUG,3.7,4.9,2020-2023
2021-09-01,2021 SEP,3.9,4.7,2020-2023
2021-10-01,2021 OCT,4,4.6,2020-2023
2021-11-01,2021 NOV,4.1,4.4,2020-2023
2021-12-01,2021 DEC,4.2,4.3,2020-2023
2022-01-01,2022 JAN,4.2,4.2,2020-2023
2022-02-01,2022 FEB,4.2,4.1,2020-2023
2022-03-01,2022 MAR,4.3,4,2020-2023
2022-04-01,2022 APR,4.3,4,2020-2023
2022-05-01,2022 MAY,4.2,3.8,2020-2023
2022-06-01,2022 JUN,4.2,3.7,2020-2023
2022-07-01,2022 JUL,4.1,3.8,2020-2023
2022-08-01,2022 AUG,4.1,3.8,2020-2023
2022-09-01,2022 SEP,4,3.8,2020-2023
2022-10-01,2022 OCT,3.9,3.6,2020-2023
2022-11-01,2022 NOV,3.8,3.5,2020-2023
2022-12-01,2022 DEC,3.7,3.6,2020-2023
