LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
PRT,YRLIFELOST,TOT,100000HAB_0_69,A,2018,4181.4,
SVK,YRLIFELOST,TOT,100000HAB_0_69,A,2018,6406.7,
SVK,YRLIFELOST,TOT,100000HAB_0_69,A,2019,6221.6,
ESP,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3301.3,
ESP,YRLIFELOST,TOT,100000HAB_0_69,A,2019,3189.5,
ESP,YRLIFELOST,TOT,100000HAB_0_69,A,2020,3392.6,
SWE,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3225.9,
CHE,YRLIFELOST,TOT,100000HAB_0_69,A,2018,2999.4,
CHE,YRLIFELOST,TOT,100000HAB_0_69,A,2019,2836.5,
TUR,YRLIFELOST,TOT,100000HAB_0_69,A,2019,5072.3,D
GBR,YRLIFELOST,TOT,100000HAB_0_69,A,2018,4353.1,
GBR,YRLIFELOST,TOT,100000HAB_0_69,A,2019,4147.7,
GBR,YRLIFELOST,TOT,100000HAB_0_69,A,2020,4473.4,
USA,YRLIFELOST,TOT,100000HAB_0_69,A,2018,6621,
USA,YRLIFELOST,TOT,100000HAB_0_69,A,2019,6512.6,
USA,YRLIFELOST,TOT,100000HAB_0_69,A,2020,7664.8,
BRA,YRLIFELOST,TOT,100000HAB_0_69,A,2018,8598.2,
BRA,YRLIFELOST,TOT,100000HAB_0_69,A,2019,8405.4,
CHL,YRLIFELOST,TOT,100000HAB_0_69,A,2018,4895.4,
EST,YRLIFELOST,TOT,100000HAB_0_69,A,2018,6032.3,
EST,YRLIFELOST,TOT,100000HAB_0_69,A,2019,5688.9,
EST,YRLIFELOST,TOT,100000HAB_0_69,A,2020,5977.7,
ISR,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3250.9,
ISR,YRLIFELOST,TOT,100000HAB_0_69,A,2019,3218.3,
ISR,YRLIFELOST,TOT,100000HAB_0_69,A,2020,3172.9,
RUS,YRLIFELOST,TOT,100000HAB_0_69,A,2019,10769.3,
SVN,YRLIFELOST,TOT,100000HAB_0_69,A,2018,3952.2,
SVN,YRLIFELOST,TOT,100000HAB_0_69,A,2019,3944.1,
SVN,YRLIFELOST,TOT,100000HAB_0_69,A,2020,3927.1,
ZAF,YRLIFELOST,TOT,100000HAB_0_69,A,2018,18161.9,
COL,YRLIFELOST,TOT,100000HAB_0_69,A,2018,6423.2,
COL,YRLIFELOST,TOT,100000HAB_0_69,A,2019,6373.8,
LVA,YRLIFELOST,TOT,100000HAB_0_69,A,2018,8659.2,
LVA,YRLIFELOST,TOT,100000HAB_0_69,A,2019,8105.4,
LVA,YRLIFELOST,TOT,100000HAB_0_69,A,2020,8137.5,
LTU,YRLIFELOST,TOT,100000HAB_0_69,A,2018,8195.9,
LTU,YRLIFELOST,TOT,100000HAB_0_69,A,2019,7866.8,
LTU,YRLIFELOST,TOT,100000HAB_0_69,A,2020,8626.9,
CRI,YRLIFELOST,TOT,100000HAB_0_69,A,2018,5687.3,
CRI,YRLIFELOST,TOT,100000HAB_0_69,A,2019,5622.2,
CRI,YRLIFELOST,TOT,100000HAB_0_69,A,2020,5712.2,
ARG,YRLIFELOST,TOT,100000HAB_0_69,A,2018,7188.1,
ARG,YRLIFELOST,TOT,100000HAB_0_69,A,2019,6982.6,
BGR,YRLIFELOST,TOT,100000HAB_0_69,A,2018,8126,
BGR,YRLIFELOST,TOT,100000HAB_0_69,A,2019,8006.3,
HRV,YRLIFELOST,TOT,100000HAB_0_69,A,2019,5282.8,
PER,YRLIFELOST,TOT,100000HAB_0_69,A,2018,5551.7,
ROU,YRLIFELOST,TOT,100000HAB_0_69,A,2018,8201,
ROU,YRLIFELOST,TOT,100000HAB_0_69,A,2019,7980,
