,name,link,scrape_time,prices,price,relative_price
38,Tesco Mozzarella Grated 250G,https://www.tesco.com/groceries/en-GB/products/257480267,1687613722.4885361,"['£2.75', '£11.00/kg']",2.75,£11.00/kg
39,Tesco British Large Whole Chicken 1.5Kg - 1.9Kg,https://www.tesco.com/groceries/en-GB/products/292276232,1687613722.588059,"['£4.80', '£3.20/kg']",4.8,£3.20/kg
40,Tesco Finest Baby Potatoes 750G,https://www.tesco.com/groceries/en-GB/products/273150945,1687613722.662802,"['£1.40', '£1.87/kg']",1.4,£1.87/kg
41,Tesco Mature Grated Cheddar 250G,https://www.tesco.com/groceries/en-GB/products/253704206,1687613722.74435,"['£2.75', '£11.00/kg']",2.75,£11.00/kg
42,Tesco Baking Potatoes 2.5Kg Pack,https://www.tesco.com/groceries/en-GB/products/258423951,1687613722.854115,"['£1.85', '£0.74/kg']",1.85,£0.74/kg
43,Jaffa Jumbo Orange Minimum 4 Pack,https://www.tesco.com/groceries/en-GB/products/311438519,1687613722.928797,"['£2.10', '£0.52/each']",2.1,£0.52/each
44,Courgettes Loose Class 1,https://www.tesco.com/groceries/en-GB/products/253554596,1687613723.006688,"['£0.56', '£2.78/kg']",0.56,£2.78/kg
45,Tesco Red Onions 3Pack Minimum,https://www.tesco.com/groceries/en-GB/products/281425851,1687613723.084296,"['£1.10', '£0.37/each']",1.1,£0.37/each
46,Tesco Garlic Flatbread 255G,https://www.tesco.com/groceries/en-GB/products/288610223,1687613723.166328,"['£2.30', '£0.90/100g']",2.3,£0.90/100g
47,Elmlea Double Alternative To Cream 270Ml,https://www.tesco.com/groceries/en-GB/products/308088804,1687613723.276895,"['£1.25', '£0.46/100ml']",1.25,£0.46/100ml
48,Tesco Baby Button Mushrooms 200G,https://www.tesco.com/groceries/en-GB/products/280046454,1687613728.901053,"['£1.15', '£5.75/kg']",1.15,£5.75/kg
49,Limes Minimum 5 Pack,https://www.tesco.com/groceries/en-GB/products/265891385,1687613728.989495,"['£1.19', '£0.24/each']",1.19,£0.24/each
50,Tesco Brown Onions 1Kg,https://www.tesco.com/groceries/en-GB/products/255736044,1687613729.069807,"['£0.95', '£0.95/kg']",0.95,£0.95/kg
51,Dale Farm Butter Milk 568Ml,https://www.tesco.com/groceries/en-GB/products/256315472,1687613729.1519492,"['£0.80', '£1.41/litre']",0.8,£1.41/litre
52,Tesco Whole Large Cucumber,https://www.tesco.com/groceries/en-GB/products/280379906,1687613729.231735,"['£0.95', '£1.73/kg']",0.95,£1.73/kg
53,Rosedene Farms Raspberries 125G,https://www.tesco.com/groceries/en-GB/products/292248312,1687613729.316897,"['£1.49', '£11.92/kg']",1.49,£11.92/kg
55,Broccoli Loose,https://www.tesco.com/groceries/en-GB/products/257231200,1687613729.490955,"['£0.72', '£1.92/kg']",0.72,£1.92/kg
56,Redmere Farms Brown Onion 1Kg,https://www.tesco.com/groceries/en-GB/products/292276376,1687613729.5856378,"['£0.55', '£0.55/kg']",0.55,£0.55/kg
57,Tesco Sweet Potatoes 1Kg,https://www.tesco.com/groceries/en-GB/products/310190037,1687613729.665946,"['£1.15', '£1.15/kg']",1.15,£1.15/kg
58,Tesco Celery,https://www.tesco.com/groceries/en-GB/products/311672834,1687613729.7509692,"['£0.57', '£0.57/each']",0.57,£0.57/each
59,Tesco Perfectly Ripe Mango,https://www.tesco.com/groceries/en-GB/products/255805844,1687613729.8452501,"['£0.85', '£0.85/each']",0.85,£0.85/each
60,Tesco British Chicken Breast Portions 950G,https://www.tesco.com/groceries/en-GB/products/292284222,1687613729.924535,"['£6.25', '£6.58/kg']",6.25,£6.58/kg
61,Oatly Oat Drink Barista Edition 1 Litre,https://www.tesco.com/groceries/en-GB/products/292990463,1687613730.0250828,"['£2.10', '£2.10/litre']",2.1,£2.10/litre
62,Seasonal New Loose Potatoes,https://www.tesco.com/groceries/en-GB/products/253555232,1687613730.1020532,"['£0.19', '£2.95/kg']",0.19,£2.95/kg
63,Jus-Rol Puff Pastry Ready Rolled Sheet 320G,https://www.tesco.com/groceries/en-GB/products/268973255,1687613730.182932,"['£1.75', '£5.47/kg']",1.75,£5.47/kg
64,Tesco British Pork Cooked Ham 125G,https://www.tesco.com/groceries/en-GB/products/276477859,1687613730.268597,"['£2.25', '£1.80/100g']",2.25,£1.80/100g
65,Tesco Jersey Royal Potatoes 1Kg,https://www.tesco.com/groceries/en-GB/products/250718828,1687613730.367646,"['£2.60', '£2.60/kg']",2.6,£2.60/kg
66,Cathedral City Mature Cheddar 550G,https://www.tesco.com/groceries/en-GB/products/277925449,1687613730.463758,"['£5.40', '£9.82/kg']",5.4,£9.82/kg
67,T Unsmkd Thick Cut Back Bacon Rasher 300G,https://www.tesco.com/groceries/en-GB/products/267992016,1687613730.581463,"['£2.10', '£7.00/kg']",2.1,£7.00/kg
68,Tesco Pressed Apple Juice Not From Concentrate 1 Litre,https://www.tesco.com/groceries/en-GB/products/276956270,1687613730.661995,"['£1.70', '£0.17/100ml']",1.7,£0.17/100ml
69,Tesco Cornish New Potatoes 750G,https://www.tesco.com/groceries/en-GB/products/309450282,1687613730.7445178,"['£1.25', '£1.67/kg']",1.25,£1.67/kg
70,Tesco Finest British Red Potatoes 2Kg,https://www.tesco.com/groceries/en-GB/products/304792155,1687613730.8243158,"['£2.00', '£1.00/kg']",2.0,£1.00/kg
71,Tesco Conference Pears Pack 610G,https://www.tesco.com/groceries/en-GB/products/284475227,1687613730.903178,"['£1.70', '£2.79/kg']",1.7,£2.79/kg
72,Tesco Houmous 200G,https://www.tesco.com/groceries/en-GB/products/260083981,1687613730.984139,"['£1.20', '£0.60/100g']",1.2,£0.60/100g
73,Tesco Mixed Leaf Salad 120G,https://www.tesco.com/groceries/en-GB/products/292593115,1687613731.088875,"['£1.10', '£0.92/100g']",1.1,£0.92/100g
74,Tesco Peeled Brussels Sprouts 200G,https://www.tesco.com/groceries/en-GB/products/298126620,1687613731.194387,"['£1.50', '£7.50/kg']",1.5,£7.50/kg
75,Philadelphia Original Soft Cheese 165G,https://www.tesco.com/groceries/en-GB/products/311678197,1687613731.274923,"['£2.20', '£13.33/kg']",2.2,£13.33/kg
76,Tesco Orange Juice With Bits Not From Concentrate 1L,https://www.tesco.com/groceries/en-GB/products/258997144,1687613731.386571,"['£1.70', '£0.17/100ml']",1.7,£0.17/100ml
77,Tesco Prime Cuts Roast Beef 90G,https://www.tesco.com/groceries/en-GB/products/311807538,1687613731.466064,"['£2.25', '£2.50/100g']",2.25,£2.50/100g
78,Growers Harvest Pure Apple Juice 1 Litre,https://www.tesco.com/groceries/en-GB/products/301219495,1687613731.5695648,"['£0.85', '£0.08/100ml']",0.85,£0.08/100ml
79,Tesco Tomatoes On The Vine 500G,https://www.tesco.com/groceries/en-GB/products/308490189,1687613731.65908,"['£1.25', '£2.50/kg']",1.25,£2.50/kg
80,Tesco British Maris Piper 1.25Kg,https://www.tesco.com/groceries/en-GB/products/304376337,1687613731.7589629,"['£1.10', '£0.88/kg']",1.1,£0.88/kg
81,Tesco Baby Potatoes 1Kg,https://www.tesco.com/groceries/en-GB/products/255095718,1687613731.85676,"['£1.20', '£1.20/kg']",1.2,£1.20/kg
82,Tesco Aubergine Each,https://www.tesco.com/groceries/en-GB/products/293610620,1687613731.967443,"['£0.85', '£0.85/each']",0.85,£0.85/each
83,Creamfields Mozzarella 210G,https://www.tesco.com/groceries/en-GB/products/299914475,1687613732.08189,"['£0.69', '£5.52/kg DR.WT']",0.69,£5.52/kg DR.WT
84,Creamfields Soft Cheese 200G,https://www.tesco.com/groceries/en-GB/products/299982577,1687613732.165437,"['£0.83', '£4.15/kg']",0.83,£4.15/kg
85,Tesco Celery Sticks 250G,https://www.tesco.com/groceries/en-GB/products/305943990,1687613732.2750888,"['£0.86', '£3.44/kg']",0.86,£3.44/kg
86,Suntrail Farms Cherries 250G,https://www.tesco.com/groceries/en-GB/products/292275734,1687613732.36146,"['£0.99', '£3.96/kg']",0.99,£3.96/kg
87,Yellow Peppers Each Class 1,https://www.tesco.com/groceries/en-GB/products/258905427,1687613732.4698508,"['£0.60', '£0.60/each']",0.6,£0.60/each
88,Tesco Sugar Snap Peas 150G,https://www.tesco.com/groceries/en-GB/products/293953011,1687613732.5484018,"['£1.05', '£7.00/kg']",1.05,£7.00/kg
89,Suntrail Lemons Minimum 4 Pack,https://www.tesco.com/groceries/en-GB/products/292216045,1687613732.6391602,"['£0.55', '£0.14/each']",0.55,£0.14/each
90,Tesco Large Sweet Potatoes Loose Class 1,https://www.tesco.com/groceries/en-GB/products/253559199,1687613732.724808,"['£0.39', '£1.10/kg']",0.39,£1.10/kg
91,Tesco Sweet Heart Cabbage Each Class 1,https://www.tesco.com/groceries/en-GB/products/254941983,1687613732.805238,"['£0.62', '£0.62/each']",0.62,£0.62/each
92,Growers Harvest Unsweetened Soya Drink 1L,https://www.tesco.com/groceries/en-GB/products/300661949,1687613732.9458072,"['£0.50', '£0.50/litre']",0.5,£0.50/litre
93,Tesco Beef Mince 500G 20% Fat,https://www.tesco.com/groceries/en-GB/products/308083458,1687613733.039278,"['£2.49', '£4.98/kg']",2.49,£4.98/kg
94,Tesco Lactose Free Semi Skimmed Milk 1 Litre,https://www.tesco.com/groceries/en-GB/products/300118011,1687613733.141014,"['£1.35', '£1.35/litre']",1.35,£1.35/litre
95,Cravendale Filtered Whole Milk 2 Litre,https://www.tesco.com/groceries/en-GB/products/257265436,1687613733.23505,"['£2.60', '£1.30/litre']",2.6,£1.30/litre
96,Tesco British Chicken Breast Mini Fillets 400G,https://www.tesco.com/groceries/en-GB/products/304368923,1687613740.088309,"['£3.60', '£9.00/kg']",3.6,£9.00/kg
97,Tesco British Pork Crumbed Ham 125G,https://www.tesco.com/groceries/en-GB/products/265085320,1687613740.168052,"['£2.25', '£1.80/100g']",2.25,£1.80/100g
98,Clover Original Spread 500G,https://www.tesco.com/groceries/en-GB/products/254263685,1687613740.274009,"['£2.40', '£4.80/kg']",2.4,£4.80/kg
99,Tesco No Added Water Honey Roast Ham 125G,https://www.tesco.com/groceries/en-GB/products/276477669,1687613740.36095,"['£2.25', '£1.80/100g']",2.25,£1.80/100g
100,Tesco Corned Beef 125G,https://www.tesco.com/groceries/en-GB/products/265162350,1687613740.470614,"['£2.50', '£2.00/100g']",2.5,£2.00/100g
101,Tesco Smoked Streaky Bacon 300G,https://www.tesco.com/groceries/en-GB/products/281037392,1687613740.5458949,"['£2.65', '£8.83/kg']",2.65,£8.83/kg
102,Tesco Babyleaf Salad 90G,https://www.tesco.com/groceries/en-GB/products/304369719,1687613740.62006,"['£1.10', '£1.22/100g']",1.1,£1.22/100g
103,Anchor Salted Butter 200G,https://www.tesco.com/groceries/en-GB/products/313941755,1687613740.719703,"['£2.00', '£10.00/kg']",2.0,£10.00/kg
104,Tesco Finest Sugarbelle Tomatoes 220G,https://www.tesco.com/groceries/en-GB/products/308481534,1687613740.8197079,"['£1.80', '£8.18/kg']",1.8,£8.18/kg
105,Wildlife Choobs Variety 6X37g,https://www.tesco.com/groceries/en-GB/products/310119778,1687613740.890615,"['£1.20', '£0.54/100g']",1.2,£0.54/100g
106,Tesco Semi Skimmed Milk 568Ml/1 Pint,https://www.tesco.com/groceries/en-GB/products/251314158,1687613740.964656,"['£0.90', '£1.58/litre']",0.9,£1.58/litre
108,Tesco Green Beans 80G,https://www.tesco.com/groceries/en-GB/products/301193961,1687613741.1254,"['£1.25', '£15.62/kg']",1.25,£15.62/kg
109,Tesco Sour Cream & Chive Dip 200G,https://www.tesco.com/groceries/en-GB/products/260249776,1687613741.2264268,"['£1.20', '£0.60/100g']",1.2,£0.60/100g
110,Organic Carrots 700G,https://www.tesco.com/groceries/en-GB/products/256687445,1687613741.3208241,"['£1.10', '£1.57/kg']",1.1,£1.57/kg
111,Tesco Baby Corn 130G,https://www.tesco.com/groceries/en-GB/products/293953719,1687613741.3911831,"['£1.25', '£9.62/kg']",1.25,£9.62/kg
112,Tesco Greek Style Yogurt 500G,https://www.tesco.com/groceries/en-GB/products/258170229,1687613741.489307,"['£1.10', '£0.22/100g']",1.1,£0.22/100g
113,Tesco Curly Kale 180G,https://www.tesco.com/groceries/en-GB/products/301219155,1687613741.561048,"['£0.80', '£4.44/kg']",0.8,£4.44/kg
114,Tesco Baby Cucumbers 200G,https://www.tesco.com/groceries/en-GB/products/292663718,1687613741.6313019,"['£1.00', '£5.00/kg']",1.0,£5.00/kg
115,Red Grapefruit Each,https://www.tesco.com/groceries/en-GB/products/253561443,1687613741.701084,"['£0.55', '£0.55/each']",0.55,£0.55/each
116,Tesco Fresh Cut Coriander 30G,https://www.tesco.com/groceries/en-GB/products/292686490,1687613741.778618,"['£0.52', '£0.17/10g']",0.52,£0.17/10g
117,Tesco Granny Smith Apple Minimum 5 Pack,https://www.tesco.com/groceries/en-GB/products/284475832,1687613741.8506172,"['£1.70', '£0.28/each']",1.7,£0.28/each
118,King Edward Potatoes 2.5Kg,https://www.tesco.com/groceries/en-GB/products/258423726,1687613741.950041,"['£1.60', '£0.64/kg']",1.6,£0.64/kg
119,Tesco Lean Beef Steak Mince 5% Fat 250G,https://www.tesco.com/groceries/en-GB/products/279704092,1687613742.074604,"['£2.09', '£8.36/kg']",2.09,£8.36/kg
120,Grower's Harvest Orange Juice Smooth 1 Litre,https://www.tesco.com/groceries/en-GB/products/299914924,1687613742.227127,"['£0.85', '£0.08/100ml']",0.85,£0.08/100ml
121,Eastmans Wafer Thin Cooked Ham 400G,https://www.tesco.com/groceries/en-GB/products/303880473,1687613742.3250282,"['£1.95', '£0.49/100g']",1.95,£0.49/100g
122,Tesco Red Cabbage Each,https://www.tesco.com/groceries/en-GB/products/294070184,1687613742.404104,"['£0.80', '£0.80/each']",0.8,£0.80/each
123,Suntrail Farms Kiwi X6,https://www.tesco.com/groceries/en-GB/products/292249766,1687613742.4835331,"['£0.95', '£0.16/each']",0.95,£0.16/each
124,Tesco Fresh Greens 500G,https://www.tesco.com/groceries/en-GB/products/313168904,1687613742.570326,"['£0.75', '£1.50/kg']",0.75,£1.50/kg
125,Tesco Oat Drink 1 Litre,https://www.tesco.com/groceries/en-GB/products/307745622,1687613742.6452942,"['£1.40', '£1.40/litre']",1.4,£1.40/litre
126,Lurpak Lighter Slightly Salted Spreadable 500G,https://www.tesco.com/groceries/en-GB/products/252246415,1687613742.790726,"['£4.46', '£8.92/kg']",4.46,£8.92/kg
127,Tesco Skimmed Longlife Milk 1L,https://www.tesco.com/groceries/en-GB/products/254277997,1687613743.05347,"['£1.20', '£1.20/litre']",1.2,£1.20/litre
129,Tesco British Diced Chicken Breast 400G,https://www.tesco.com/groceries/en-GB/products/304404328,1687613743.2307131,"['£3.60', '£9.00/kg']",3.6,£9.00/kg
130,Arla Bob Skimmed Milk 2 Litre,https://www.tesco.com/groceries/en-GB/products/291631643,1687613743.340605,"['£2.60', '£1.30/litre']",2.6,£1.30/litre
131,Tesco Finest Finely Sliced Wiltshire Ham 250G,https://www.tesco.com/groceries/en-GB/products/296070935,1687613743.448351,"['£4.60', '£1.84/100g']",4.6,£1.84/100g
132,Tesco 25 Cocktail Sausages 212G,https://www.tesco.com/groceries/en-GB/products/254787629,1687613743.548754,"['£1.80', '£0.85/100g']",1.8,£0.85/100g
133,Cravendale Pure Filtered Semi Skimmed Milk 1L,https://www.tesco.com/groceries/en-GB/products/260086626,1687613743.6224031,"['£1.60', '£1.60/litre']",1.6,£1.60/litre
134,Tesco 6 Mini Melton Mowbray Pork Pies 300G,https://www.tesco.com/groceries/en-GB/products/254972393,1687613743.693465,"['£2.50', '£0.83/100g']",2.5,£0.83/100g
135,Munch Bunch Double Up Strawberry & Vanilla Yogurt 4X85g,https://www.tesco.com/groceries/en-GB/products/268776788,1687613743.761991,"['£2.00', '£0.59/100g']",2.0,£0.59/100g
136,Eastman's Sliced Cooked Chicken 240G,https://www.tesco.com/groceries/en-GB/products/299955420,1687613743.832047,"['£1.95', '£0.81/100g']",1.95,£0.81/100g
137,St Ewes 6 Large Free Range Eggs,https://www.tesco.com/groceries/en-GB/products/273253109,1687613743.917205,"['£2.00', '£0.33/each']",2.0,£0.33/each
138,Creamfields Uht Skimmed Milk 1 Litre,https://www.tesco.com/groceries/en-GB/products/299914291,1687613744.057369,"['£0.69', '£0.69/litre']",0.69,£0.69/litre
139,Boursin Full Fat Soft Cheese Garlic Herb 150G,https://www.tesco.com/groceries/en-GB/products/250692966,1687613744.175688,"['£2.75', '£18.33/kg']",2.75,£18.33/kg
140,Tesco Prime Cuts Lean Ham On The Bone 125G,https://www.tesco.com/groceries/en-GB/products/307754087,1687613744.325315,"['£2.25', '£1.80/100g']",2.25,£1.80/100g
141,Tesco Butternut Squash Each,https://www.tesco.com/groceries/en-GB/products/277492902,1687613744.471338,"['£1.35', '£1.35/each']",1.35,£1.35/each
142,Tesco Mashed Potato 425G,https://www.tesco.com/groceries/en-GB/products/267111051,1687613744.570126,"['£1.25', '£2.94/kg']",1.25,£2.94/kg
143,Tesco Courgettes,https://www.tesco.com/groceries/en-GB/products/302292312,1687613744.7020469,"['£1.39', '£0.46/each']",1.39,£0.46/each
144,Suntrail Farms Grapes 500G,https://www.tesco.com/groceries/en-GB/products/292250003,1687613751.727711,"['£1.49', '£2.98/kg']",1.49,£2.98/kg
145,Hearty Food Co. Cheese & Tomato Pizza 114G,https://www.tesco.com/groceries/en-GB/products/299597970,1687613751.8085508,"['£0.55', '£0.48/100g']",0.55,£0.48/100g
146,Tesco Strawberries 400G,https://www.tesco.com/groceries/en-GB/products/287529333,1687613751.887093,"['£2.30', '£5.75/kg']",2.3,£5.75/kg
147,Woodside Farms Smoked Back Bacon 300G,https://www.tesco.com/groceries/en-GB/products/292311836,1687613751.958428,"['£1.45', '£4.83/kg']",1.45,£4.83/kg
148,Tesco Medium Cheddar 400G,https://www.tesco.com/groceries/en-GB/products/305951277,1687613752.0325918,"['£3.40', '£8.50/kg']",3.4,£8.50/kg
149,Tesco Finest 10 Pork Sausages 667G,https://www.tesco.com/groceries/en-GB/products/280010485,1687613752.111945,"['£5.00', '£7.50/kg']",5.0,£7.50/kg
150,Tesco Grated Mozzarella & Cheese Mix 200G,https://www.tesco.com/groceries/en-GB/products/305255462,1687613752.2116559,"['£2.75', '£13.75/kg']",2.75,£13.75/kg
151,Large Pears Conference Class 1 Loose,https://www.tesco.com/groceries/en-GB/products/253561247,1687613752.307009,"['£0.49', '£2.60/kg']",0.49,£2.60/kg
152,Tesco Finest Spanish Chorizo Ring 225G,https://www.tesco.com/groceries/en-GB/products/296814552,1687613752.3815732,"['£2.50', '£1.11/100g']",2.5,£1.11/100g
153,Tesco Wensleydale & Cranberries 200G,https://www.tesco.com/groceries/en-GB/products/258771630,1687613752.464475,"['£2.45', '£12.25/kg']",2.45,£12.25/kg
154,Tesco Finest Jacket Potatoes 4 Pack,https://www.tesco.com/groceries/en-GB/products/289647218,1687613752.537048,"['£1.60', '£0.40/each']",1.6,£0.40/each
155,Tesco Stonebaked Margherita Pizza 252G,https://www.tesco.com/groceries/en-GB/products/303776050,1687613752.6155388,"['£3.50', '£1.39/100g']",3.5,£1.39/100g
156,Tesco Finest Wiltshire Finely Sliced Ham 125G,https://www.tesco.com/groceries/en-GB/products/296070866,1687613752.714159,"['£3.25', '£2.60/100g']",3.25,£2.60/100g
157,Tesco British Roast Chicken 125G,https://www.tesco.com/groceries/en-GB/products/277044420,1687613752.809259,"['£2.25', '£1.80/100g']",2.25,£1.80/100g
158,Tesco British Medium Grated Cheddar 250G,https://www.tesco.com/groceries/en-GB/products/253704097,1687613752.9057422,"['£2.75', '£11.00/kg']",2.75,£11.00/kg
159,Peperami Original 5 Pack 5X22.5G,https://www.tesco.com/groceries/en-GB/products/296526864,1687613753.008152,"['£2.75', '£2.44/100g']",2.75,£2.44/100g
160,Tesco Finest Roast Dry Cured Ham 125G,https://www.tesco.com/groceries/en-GB/products/296070780,1687613753.102666,"['£3.25', '£2.60/100g']",3.25,£2.60/100g
161,Tesco Finest Tomatoes On The Vine 450G,https://www.tesco.com/groceries/en-GB/products/309202594,1687613753.193954,"['£2.00', '£4.44/kg']",2.0,£4.44/kg
163,Tesco Fresh Extra Thick Double Cream 300Ml,https://www.tesco.com/groceries/en-GB/products/262480058,1687613753.361105,"['£1.50', '£0.50/100ml']",1.5,£0.50/100ml
164,Happy Egg Co. Free Range Eggs Mixed Weight 6 Pack,https://www.tesco.com/groceries/en-GB/products/314688667,1687613753.435176,"['£2.00', '£0.33/each']",2.0,£0.33/each
165,Tesco Smoked T/C Back Bacon Rasher 300G,https://www.tesco.com/groceries/en-GB/products/267991908,1687613753.504868,"['£2.10', '£7.00/kg']",2.1,£7.00/kg
166,Tesco Wild Rocket 60G,https://www.tesco.com/groceries/en-GB/products/299963865,1687613753.575944,"['£1.10', '£1.83/100g']",1.1,£1.83/100g
167,Tesco Organic Semi- Skimmed Milk 2.272L/4 Pints,https://www.tesco.com/groceries/en-GB/products/251499998,1687613753.670023,"['£2.15', '£0.95/litre']",2.15,£0.95/litre
168,Lurpak Lighter Slightly Salted Butter 200G,https://www.tesco.com/groceries/en-GB/products/314317301,1687613753.747693,"['£2.15', '£10.75/kg']",2.15,£10.75/kg
169,Lurpak Slightly Salted Butter 200G,https://www.tesco.com/groceries/en-GB/products/314430811,1687613753.834259,"['£2.15', '£10.75/kg']",2.15,£10.75/kg
170,Lurpak Unsalted Butter 200G,https://www.tesco.com/groceries/en-GB/products/314414883,1687613753.908701,"['£2.15', '£10.75/kg']",2.15,£10.75/kg
171,Tesco Finest Sweet Onion 3 Pack Minimum 385G,https://www.tesco.com/groceries/en-GB/products/282649089,1687613753.9864478,"['£1.60', '£4.16/kg']",1.6,£4.16/kg
